idx,prev_attempt_id,next_attempt_id,gap_steps,prev_phase,next_phase,same_phase,prev_ok,next_ok,origin_l1,origin_linf,same_origin,heading_delta_mod4,critical_l1,same_critical_cell
5,5:19,5:20,18225,0,0,1,0,0,73,42,0,3,73,0
5,5:20,5:21,6368,0,24,0,0,0,100,68,0,2,108,0
5,5:21,5:22,34434,24,0,0,0,0,68,65,0,2,70,0
5,5:22,5:23,3191,0,102,0,0,0,73,65,0,3,72,0
5,5:23,5:24,109,102,0,0,0,0,5,5,0,3,6,0
5,5:24,5:25,12921,0,103,0,0,0,169,106,0,1,181,0
5,5:25,5:26,5253,103,25,0,0,0,119,99,0,3,117,0
5,5:26,5:27,33597,25,0,0,0,0,51,30,0,1,51,0
5,5:27,5:28,1886,0,24,0,0,0,50,33,0,0,55,0
5,5:28,5:29,161,24,101,0,0,0,3,2,0,1,3,0
5,5:29,5:30,18552,101,0,0,0,0,66,38,0,2,69,0
5,5:30,5:31,1404,0,30,0,0,0,82,44,0,2,80,0
5,5:31,5:32,2131,30,103,0,0,0,35,28,0,3,30,0
5,5:32,5:33,763,103,30,0,0,0,15,14,0,1,18,0
5,5:33,5:34,21698,30,102,0,0,0,42,29,0,2,42,0
5,5:34,5:35,4403,102,30,0,0,0,9,5,0,3,6,0
5,5:35,5:36,77,30,0,0,0,0,7,4,0,1,6,0
5,5:36,5:37,557,0,24,0,0,0,27,19,0,3,29,0
5,5:37,5:38,1822,24,30,0,0,0,36,27,0,0,40,0
5,5:38,5:39,1867,30,0,0,0,0,61,36,0,3,55,0
5,5:39,5:40,2516,0,24,0,0,0,26,22,0,2,32,0
5,5:40,5:41,1298,24,103,0,0,0,24,17,0,2,19,0
5,5:41,5:42,12771,103,24,0,0,0,181,156,0,3,176,0
5,5:42,5:43,2899,24,0,0,0,0,15,10,0,3,20,0
5,5:43,5:44,1010,0,103,0,0,0,36,19,0,0,30,0
5,5:44,5:45,1044,103,0,0,0,0,38,20,0,0,42,0
5,5:45,5:46,8649,0,0,1,0,0,165,101,0,3,161,0
5,5:46,5:47,708,0,0,1,0,1,24,16,0,0,,
6,6:0,6:1,1764,0,0,1,0,0,12,12,0,2,27,0
6,6:1,6:2,283,0,0,1,0,0,9,8,0,3,10,0
6,6:2,6:3,988,0,103,0,0,0,14,8,0,2,6,0
6,6:3,6:4,101,103,0,0,0,0,15,10,0,1,14,0
6,6:4,6:5,14100,0,103,0,0,0,36,18,0,0,39,0
6,6:5,6:6,2250,103,0,0,0,0,24,23,0,0,29,0
6,6:6,6:7,565,0,24,0,0,0,27,17,0,1,21,0
6,6:7,6:8,79,24,100,0,0,0,5,3,0,3,10,0
6,6:8,6:9,1531,100,99,0,0,0,31,18,0,1,26,0
6,6:9,6:10,2238,99,0,0,0,0,32,25,0,0,39,0
6,6:10,6:11,100,0,92,0,0,0,6,6,0,2,3,0
6,6:11,6:12,15527,92,0,0,0,0,27,24,0,1,43,0
6,6:12,6:13,573,0,103,0,0,0,35,21,0,3,20,0
6,6:13,6:14,15677,103,24,0,0,0,105,55,0,3,95,0
6,6:14,6:15,14749,24,0,0,0,0,17,17,0,3,18,0
6,6:15,6:16,14064,0,0,1,0,0,76,66,0,2,61,0
6,6:16,6:17,8609,0,30,0,0,0,87,54,0,1,86,0
6,6:17,6:18,18013,30,25,0,0,0,115,73,0,3,118,0
6,6:18,6:19,2099,25,0,0,0,0,107,82,0,3,96,0
6,6:19,6:20,38407,0,103,0,0,0,43,32,0,3,41,0
6,6:20,6:21,12193,103,0,0,0,0,11,10,0,1,9,0
6,6:21,6:22,3919,0,30,0,0,0,93,83,0,3,86,0
6,6:22,6:23,2655,30,24,0,0,0,99,67,0,1,91,0
6,6:23,6:24,6678,24,25,0,0,0,120,113,0,0,126,0
6,6:24,6:25,2458,25,31,0,0,0,88,55,0,2,89,0
6,6:25,6:26,7836,31,103,0,0,0,134,106,0,0,139,0
6,6:26,6:27,14193,103,30,0,0,0,111,65,0,1,102,0
6,6:27,6:28,8854,30,103,0,0,0,174,117,0,2,173,0
6,6:28,6:29,8918,103,100,0,0,0,36,31,0,2,40,0
6,6:29,6:30,17192,100,24,0,0,0,164,110,0,2,171,0
6,6:30,6:31,2541,24,99,0,0,0,33,22,0,1,33,0
6,6:31,6:32,13974,99,24,0,0,0,56,31,0,2,52,0
6,6:32,6:33,14315,24,103,0,0,0,61,60,0,3,63,0
6,6:33,6:34,1187,103,30,0,0,0,37,27,0,3,45,0
6,6:34,6:35,380,30,102,0,0,0,2,2,0,2,3,0
6,6:35,6:36,5891,102,0,0,0,1,177,96,0,3,,
7,7:0,7:1,6748,0,30,0,0,0,70,38,0,0,79,0
7,7:1,7:2,562,30,0,0,0,0,2,1,0,2,3,0
7,7:2,7:3,5299,0,103,0,0,0,101,54,0,1,115,0
7,7:3,7:4,1011,103,0,0,0,0,23,17,0,1,17,0
7,7:4,7:5,8994,0,30,0,0,0,34,21,0,2,19,0
7,7:5,7:6,5521,30,103,0,0,0,61,58,0,3,65,0
7,7:6,7:7,3369,103,31,0,0,0,79,50,0,3,77,0
7,7:7,7:8,14970,31,102,0,0,0,8,7,0,0,7,0
7,7:8,7:9,951,102,16,0,0,0,41,26,0,3,42,0
7,7:9,7:10,9896,16,0,0,0,0,84,50,0,2,85,0
7,7:10,7:11,9312,0,25,0,0,0,98,80,0,2,85,0
7,7:11,7:12,11029,25,0,0,0,0,71,38,0,1,72,0
7,7:12,7:13,6738,0,0,1,0,0,24,19,0,0,22,0
7,7:13,7:14,8700,0,103,0,0,0,122,98,0,2,123,0
7,7:14,7:15,21796,103,0,0,0,0,42,26,0,0,31,0
7,7:15,7:16,3372,0,0,1,0,0,48,40,0,0,46,0
7,7:16,7:17,16435,0,103,0,0,0,7,5,0,3,9,0
7,7:17,7:18,7465,103,103,1,0,0,95,65,0,1,96,0
7,7:18,7:19,2699,103,98,0,0,0,3,3,0,3,1,0
7,7:19,7:20,8202,98,24,0,0,0,118,107,0,0,111,0
7,7:20,7:21,60,24,0,0,0,0,12,10,0,0,9,0
7,7:21,7:22,130,0,90,0,0,0,8,7,0,0,3,0
7,7:22,7:23,20418,90,30,0,0,0,186,123,0,0,187,0
7,7:23,7:24,755,30,0,0,0,0,49,41,0,1,48,0
7,7:24,7:25,687,0,103,0,0,0,55,44,0,3,54,0
7,7:25,7:26,6319,103,31,0,0,0,119,92,0,3,134,0
7,7:26,7:27,5510,31,0,0,0,0,96,67,0,0,96,0
7,7:27,7:28,4484,0,103,0,0,0,122,112,0,2,129,0
7,7:28,7:29,12678,103,30,0,0,0,32,17,0,0,29,0
7,7:29,7:30,18802,30,0,0,0,0,12,9,0,2,16,0
7,7:30,7:31,21460,0,0,1,0,0,74,66,0,2,83,0
7,7:31,7:32,107,0,0,1,0,0,5,4,0,3,6,0
7,7:32,7:33,16455,0,103,0,0,1,183,108,0,3,,
8,8:0,8:1,21491,103,0,0,0,0,83,60,0,3,76,0
8,8:1,8:2,1064,0,100,0,0,0,2,2,0,0,2,0
8,8:2,8:3,854,100,0,0,0,0,22,17,0,0,17,0
8,8:3,8:4,2473,0,102,0,0,0,53,43,0,3,55,0
8,8:4,8:5,675,102,0,0,0,0,49,38,0,3,33,0
8,8:5,8:6,6801,0,97,0,0,0,3,3,0,1,3,0
8,8:6,8:7,7945,97,103,0,0,0,57,47,0,3,49,0
8,8:7,8:8,15238,103,0,0,0,0,88,77,0,0,89,0
8,8:8,8:9,1171,0,0,1,0,0,9,8,0,1,12,0
8,8:9,8:10,1523,0,24,0,0,0,23,21,0,3,32,0
8,8:10,8:11,1561,24,0,0,0,0,85,56,0,3,84,0
8,8:11,8:12,33233,0,0,1,0,0,115,69,0,1,116,0
8,8:12,8:13,166,0,90,0,0,0,8,7,0,0,3,0
8,8:13,8:14,94,90,0,0,0,0,2,1,0,0,8,0
8,8:14,8:15,28839,0,103,0,0,0,143,101,0,1,136,0
8,8:15,8:16,2618,103,0,0,0,0,104,73,0,0,108,0
8,8:16,8:17,1027,0,0,1,0,0,69,62,0,3,72,0
8,8:17,8:18,9757,0,31,0,0,0,57,36,0,1,66,0
8,8:18,8:19,46090,31,103,0,0,0,46,37,0,2,52,0
8,8:19,8:20,19118,103,0,0,0,0,152,103,0,0,158,0
8,8:20,8:21,1054,0,0,1,0,0,8,7,0,0,8,0
8,8:21,8:22,100,0,92,0,0,0,6,6,0,2,3,0
8,8:22,8:23,11992,92,0,0,0,0,156,130,0,0,166,0
8,8:23,8:24,3335,0,31,0,0,0,153,117,0,1,162,0
8,8:24,8:25,7710,31,0,0,0,0,84,45,0,0,82,0
8,8:25,8:26,6258,0,0,1,0,0,12,9,0,0,13,0
8,8:26,8:27,14361,0,103,0,0,0,143,124,0,1,137,0
8,8:27,8:28,13525,103,102,0,0,1,133,127,0,3,,
9,9:0,9:1,7350,0,103,0,0,0,26,21,0,0,37,0
9,9:1,9:2,6925,103,31,0,0,0,7,6,0,1,8,0
9,9:2,9:3,5045,31,16,0,0,0,37,21,0,1,40,0
9,9:3,9:4,9555,16,103,0,0,0,69,59,0,3,59,0
9,9:4,9:5,153,103,0,0,0,0,5,3,0,1,4,0
9,9:5,9:6,112,0,0,1,0,0,4,2,0,0,3,0
9,9:6,9:7,103,0,99,0,0,0,3,2,0,1,28,0
9,9:7,9:8,2357,99,30,0,0,0,47,42,0,1,41,0
9,9:8,9:9,12169,30,0,0,0,0,75,61,0,3,75,0
9,9:9,9:10,2937,0,0,1,0,0,67,39,0,3,71,0
9,9:10,9:11,184,0,100,0,0,0,2,2,0,0,3,0
9,9:11,9:12,40406,100,0,0,0,0,46,29,0,0,48,0
9,9:12,9:13,8820,0,30,0,0,0,70,50,0,2,66,0
9,9:13,9:14,3296,30,0,0,0,0,72,68,0,2,70,0
9,9:14,9:15,20457,0,24,0,0,0,97,61,0,1,103,0
9,9:15,9:16,13562,24,0,0,0,0,116,95,0,2,106,0
9,9:16,9:17,590,0,31,0,0,0,16,11,0,0,13,0
9,9:17,9:18,2326,31,0,0,0,0,20,13,0,0,23,0
9,9:18,9:19,8187,0,24,0,0,0,131,97,0,3,144,0
9,9:19,9:20,16659,24,103,0,0,0,149,105,0,3,154,0
9,9:20,9:21,18725,103,0,0,0,0,121,117,0,3,129,0
9,9:21,9:22,23283,0,103,0,0,0,35,28,0,3,38,0
9,9:22,9:23,10407,103,24,0,0,0,119,83,0,1,124,0
9,9:23,9:24,254,24,102,0,0,0,2,1,0,0,1,0
9,9:24,9:25,33428,102,26,0,0,0,50,44,0,2,44,0
9,9:25,9:26,11029,26,0,0,0,0,117,86,0,1,108,0
9,9:26,9:27,212,0,0,1,0,0,4,2,0,0,13,0
9,9:27,9:28,5981,0,30,0,0,0,159,98,0,1,154,0
9,9:28,9:29,328,30,103,0,0,0,16,16,0,0,16,0
9,9:29,9:30,148,103,99,0,0,0,2,2,0,2,4,0
9,9:30,9:31,117,99,0,0,0,0,7,5,0,3,3,0
9,9:31,9:32,103,0,99,0,0,1,3,2,0,1,,
10,10:0,10:1,583,0,0,1,0,0,7,6,0,3,10,0
10,10:1,10:2,1149,0,0,1,0,0,5,3,0,1,12,0
10,10:2,10:3,838,0,16,0,0,0,16,9,0,0,24,0
10,10:3,10:4,677,16,103,0,0,0,23,12,0,3,16,0
10,10:4,10:5,4048,103,0,0,0,0,16,16,0,2,21,0
10,10:5,10:6,5476,0,24,0,0,0,26,26,0,0,29,0
10,10:6,10:7,83,24,0,0,0,0,7,4,0,3,7,0
10,10:7,10:8,107,0,99,0,0,0,3,2,0,1,3,0
10,10:8,10:9,1927,99,0,0,0,0,51,29,0,3,52,0
10,10:9,10:10,1379,0,100,0,0,0,5,4,0,3,9,0
10,10:10,10:11,1627,100,30,0,0,0,13,10,0,3,15,0
10,10:11,10:12,585,30,30,1,0,0,29,26,0,3,38,0
