[shard 10] 0/70000000 seeds, 1 converged
[shard 10] 17272000/70000000 seeds, 17272001 converged
[shard 10] 17274000/70000000 seeds, 17274001 converged
[shard 10] 17276000/70000000 seeds, 17276001 converged
[shard 10] 17278000/70000000 seeds, 17278001 converged
[shard 10] 17280000/70000000 seeds, 17280001 converged
[shard 10] 17282000/70000000 seeds, 17282001 converged
[shard 10] 17284000/70000000 seeds, 17284001 converged
[shard 10] 17286000/70000000 seeds, 17286001 converged
[shard 10] 17288000/70000000 seeds, 17288001 converged
[shard 10] 17290000/70000000 seeds, 17290001 converged
[shard 10] 17292000/70000000 seeds, 17292001 converged
[shard 10] 17294000/70000000 seeds, 17294001 converged
[shard 10] 17296000/70000000 seeds, 17296001 converged
[shard 10] 17298000/70000000 seeds, 17298001 converged
[shard 10] 17300000/70000000 seeds, 17300001 converged
[shard 10] 17302000/70000000 seeds, 17302001 converged
[shard 10] 17304000/70000000 seeds, 17304001 converged
[shard 10] 17306000/70000000 seeds, 17306001 converged
[shard 10] 17308000/70000000 seeds, 17308001 converged
[shard 10] 17310000/70000000 seeds, 17310001 converged
[shard 10] 17312000/70000000 seeds, 17312001 converged
[shard 10] 17314000/70000000 seeds, 17314001 converged
[shard 10] 17316000/70000000 seeds, 17316001 converged
[shard 10] 17318000/70000000 seeds, 17318001 converged
[shard 10] 17320000/70000000 seeds, 17320001 converged
[shard 10] 17322000/70000000 seeds, 17322001 converged
[shard 10] 17324000/70000000 seeds, 17324001 converged
[shard 10] 17326000/70000000 seeds, 17326001 converged
[shard 10] 17328000/70000000 seeds, 17328001 converged
[shard 10] 17330000/70000000 seeds, 17330001 converged
[shard 10] 17332000/70000000 seeds, 17332001 converged
[shard 10] 17334000/70000000 seeds, 17334001 converged
[shard 10] 17336000/70000000 seeds, 17336001 converged
[shard 10] 17338000/70000000 seeds, 17338001 converged
[shard 10] 17340000/70000000 seeds, 17340001 converged
[shard 10] 17342000/70000000 seeds, 17342001 converged
[shard 10] 17344000/70000000 seeds, 17344001 converged
[shard 10] 17346000/70000000 seeds, 17346001 converged
[shard 10] 17348000/70000000 seeds, 17348001 converged
[shard 10] 17350000/70000000 seeds, 17350001 converged
[shard 10] 17352000/70000000 seeds, 17352001 converged
[shard 10] 17354000/70000000 seeds, 17354001 converged
[shard 10] 17356000/70000000 seeds, 17356001 converged
[shard 10] 17358000/70000000 seeds, 17358001 converged
[shard 10] 17360000/70000000 seeds, 17360001 converged
[shard 10] 17362000/70000000 seeds, 17362001 converged
[shard 10] 17364000/70000000 seeds, 17364001 converged
[shard 10] 17366000/70000000 seeds, 17366001 converged
[shard 10] 17368000/70000000 seeds, 17368001 converged
[shard 10] 17370000/70000000 seeds, 17370001 converged
[shard 10] 17372000/70000000 seeds, 17372001 converged
[shard 10] 17374000/70000000 seeds, 17374001 converged
[shard 10] 17376000/70000000 seeds, 17376001 converged
[shard 10] 17378000/70000000 seeds, 17378001 converged
[shard 10] 17380000/70000000 seeds, 17380001 converged
[shard 10] 17382000/70000000 seeds, 17382001 converged
[shard 10] 17384000/70000000 seeds, 17384001 converged
[shard 10] 17386000/70000000 seeds, 17386001 converged
[shard 10] 17388000/70000000 seeds, 17388001 converged
[shard 10] 17390000/70000000 seeds, 17390001 converged
[shard 10] 17392000/70000000 seeds, 17392001 converged
[shard 10] 17394000/70000000 seeds, 17394001 converged
[shard 10] 17396000/70000000 seeds, 17396001 converged
[shard 10] 17398000/70000000 seeds, 17398001 converged
[shard 10] 17400000/70000000 seeds, 17400001 converged
[shard 10] 17402000/70000000 seeds, 17402001 converged
[shard 10] 17404000/70000000 seeds, 17404001 converged
[shard 10] 17406000/70000000 seeds, 17406001 converged
[shard 10] 17408000/70000000 seeds, 17408001 converged
[shard 10] 17410000/70000000 seeds, 17410001 converged
[shard 10] 17412000/70000000 seeds, 17412001 converged
[shard 10] 17414000/70000000 seeds, 17414001 converged
[shard 10] 17416000/70000000 seeds, 17416001 converged
[shard 10] 17418000/70000000 seeds, 17418001 converged
[shard 10] 17420000/70000000 seeds, 17420001 converged
[shard 10] 17422000/70000000 seeds, 17422001 converged
[shard 10] 17424000/70000000 seeds, 17424001 converged
[shard 10] 17426000/70000000 seeds, 17426001 converged
[shard 10] 17428000/70000000 seeds, 17428001 converged
[shard 10] 17430000/70000000 seeds, 17430001 converged
[shard 10] 17432000/70000000 seeds, 17432001 converged
[shard 10] 17434000/70000000 seeds, 17434001 converged
[shard 10] 17436000/70000000 seeds, 17436001 converged
[shard 10] 17438000/70000000 seeds, 17438001 converged
[shard 10] 17440000/70000000 seeds, 17440001 converged
[shard 10] 17442000/70000000 seeds, 17442001 converged
[shard 10] 17444000/70000000 seeds, 17444001 converged
[shard 10] 17446000/70000000 seeds, 17446001 converged
[shard 10] 17448000/70000000 seeds, 17448001 converged
[shard 10] 17450000/70000000 seeds, 17450001 converged
[shard 10] 17452000/70000000 seeds, 17452001 converged
[shard 10] 17454000/70000000 seeds, 17454001 converged
[shard 10] 17456000/70000000 seeds, 17456001 converged
[shard 10] 17458000/70000000 seeds, 17458001 converged
[shard 10] 17460000/70000000 seeds, 17460001 converged
[shard 10] 17462000/70000000 seeds, 17462001 converged
[shard 10] 17464000/70000000 seeds, 17464001 converged
[shard 10] 17466000/70000000 seeds, 17466001 converged
[shard 10] 17468000/70000000 seeds, 17468001 converged
[shard 10] 17470000/70000000 seeds, 17470001 converged
[shard 10] 17472000/70000000 seeds, 17472001 converged
[shard 10] 17474000/70000000 seeds, 17474001 converged
[shard 10] 17476000/70000000 seeds, 17476001 converged
[shard 10] 17478000/70000000 seeds, 17478001 converged
[shard 10] 17480000/70000000 seeds, 17480001 converged
[shard 10] 17482000/70000000 seeds, 17482001 converged
[shard 10] 17484000/70000000 seeds, 17484001 converged
[shard 10] 17486000/70000000 seeds, 17486001 converged
[shard 10] 17488000/70000000 seeds, 17488001 converged
[shard 10] 17490000/70000000 seeds, 17490001 converged
[shard 10] 17492000/70000000 seeds, 17492001 converged
[shard 10] 17494000/70000000 seeds, 17494001 converged
[shard 10] 17496000/70000000 seeds, 17496001 converged
[shard 10] 17498000/70000000 seeds, 17498001 converged
[shard 10] 17500000/70000000 seeds, 17500001 converged
[shard 10] 17502000/70000000 seeds, 17502001 converged
[shard 10] 17504000/70000000 seeds, 17504001 converged
[shard 10] 17506000/70000000 seeds, 17506001 converged
[shard 10] 17508000/70000000 seeds, 17508001 converged
[shard 10] 17510000/70000000 seeds, 17510001 converged
[shard 10] 17512000/70000000 seeds, 17512001 converged
[shard 10] 17514000/70000000 seeds, 17514001 converged
[shard 10] 17516000/70000000 seeds, 17516001 converged
[shard 10] 17518000/70000000 seeds, 17518001 converged
[shard 10] 17520000/70000000 seeds, 17520001 converged
[shard 10] 17522000/70000000 seeds, 17522001 converged
[shard 10] 17524000/70000000 seeds, 17524001 converged
[shard 10] 17526000/70000000 seeds, 17526001 converged
[shard 10] 17528000/70000000 seeds, 17528001 converged
[shard 10] 17530000/70000000 seeds, 17530001 converged
[shard 10] 17532000/70000000 seeds, 17532001 converged
[shard 10] 17534000/70000000 seeds, 17534001 converged
[shard 10] 17536000/70000000 seeds, 17536001 converged
[shard 10] 17538000/70000000 seeds, 17538001 converged
[shard 10] 17540000/70000000 seeds, 17540001 converged
[shard 10] 17542000/70000000 seeds, 17542001 converged
[shard 10] 17544000/70000000 seeds, 17544001 converged
[shard 10] 17546000/70000000 seeds, 17546001 converged
[shard 10] 17548000/70000000 seeds, 17548001 converged
[shard 10] 17550000/70000000 seeds, 17550001 converged
[shard 10] 17552000/70000000 seeds, 17552001 converged
[shard 10] 17554000/70000000 seeds, 17554001 converged
[shard 10] 17556000/70000000 seeds, 17556001 converged
[shard 10] 17558000/70000000 seeds, 17558001 converged
[shard 10] 17560000/70000000 seeds, 17560001 converged
[shard 10] 17562000/70000000 seeds, 17562001 converged
[shard 10] 17564000/70000000 seeds, 17564001 converged
[shard 10] 17566000/70000000 seeds, 17566001 converged
[shard 10] 17568000/70000000 seeds, 17568001 converged
[shard 10] 17570000/70000000 seeds, 17570001 converged
[shard 10] 17572000/70000000 seeds, 17572001 converged
[shard 10] 17574000/70000000 seeds, 17574001 converged
[shard 10] 17576000/70000000 seeds, 17576001 converged
[shard 10] 17578000/70000000 seeds, 17578001 converged
[shard 10] 17580000/70000000 seeds, 17580001 converged
[shard 10] 17582000/70000000 seeds, 17582001 converged
[shard 10] 17584000/70000000 seeds, 17584001 converged
[shard 10] 17586000/70000000 seeds, 17586001 converged
[shard 10] 17588000/70000000 seeds, 17588001 converged
[shard 10] 17590000/70000000 seeds, 17590001 converged
[shard 10] 17592000/70000000 seeds, 17592001 converged
[shard 10] 17594000/70000000 seeds, 17594001 converged
[shard 10] 17596000/70000000 seeds, 17596001 converged
[shard 10] 17598000/70000000 seeds, 17598001 converged
[shard 10] 17600000/70000000 seeds, 17600001 converged
[shard 10] 17602000/70000000 seeds, 17602001 converged
[shard 10] 17604000/70000000 seeds, 17604001 converged
[shard 10] 17606000/70000000 seeds, 17606001 converged
[shard 10] 17608000/70000000 seeds, 17608001 converged
[shard 10] 17610000/70000000 seeds, 17610001 converged
[shard 10] 17612000/70000000 seeds, 17612001 converged
[shard 10] 17614000/70000000 seeds, 17614001 converged
[shard 10] 17616000/70000000 seeds, 17616001 converged
[shard 10] 17618000/70000000 seeds, 17618001 converged
[shard 10] 17620000/70000000 seeds, 17620001 converged
[shard 10] 17622000/70000000 seeds, 17622001 converged
[shard 10] 17624000/70000000 seeds, 17624001 converged
[shard 10] 17626000/70000000 seeds, 17626001 converged
[shard 10] 17628000/70000000 seeds, 17628001 converged
[shard 10] 17630000/70000000 seeds, 17630001 converged
[shard 10] 17632000/70000000 seeds, 17632001 converged
[shard 10] 17634000/70000000 seeds, 17634001 converged
[shard 10] 17636000/70000000 seeds, 17636001 converged
[shard 10] 17638000/70000000 seeds, 17638001 converged
[shard 10] 17640000/70000000 seeds, 17640001 converged
[shard 10] 17642000/70000000 seeds, 17642001 converged
[shard 10] 17644000/70000000 seeds, 17644001 converged
[shard 10] 17646000/70000000 seeds, 17646001 converged
[shard 10] 17648000/70000000 seeds, 17648001 converged
[shard 10] 17650000/70000000 seeds, 17650001 converged
[shard 10] 17652000/70000000 seeds, 17652001 converged
[shard 10] 17654000/70000000 seeds, 17654001 converged
[shard 10] 17656000/70000000 seeds, 17656001 converged
[shard 10] 17658000/70000000 seeds, 17658001 converged
[shard 10] 17660000/70000000 seeds, 17660001 converged
[shard 10] 17662000/70000000 seeds, 17662001 converged
[shard 10] 17664000/70000000 seeds, 17664001 converged
[shard 10] 17666000/70000000 seeds, 17666001 converged
[shard 10] 17668000/70000000 seeds, 17668001 converged
[shard 10] 17670000/70000000 seeds, 17670001 converged
[shard 10] 17672000/70000000 seeds, 17672001 converged
[shard 10] 17674000/70000000 seeds, 17674001 converged
[shard 10] 17676000/70000000 seeds, 17676001 converged
[shard 10] 17678000/70000000 seeds, 17678001 converged
[shard 10] 17680000/70000000 seeds, 17680001 converged
[shard 10] 17682000/70000000 seeds, 17682001 converged
[shard 10] 17684000/70000000 seeds, 17684001 converged
[shard 10] 17686000/70000000 seeds, 17686001 converged
[shard 10] 17688000/70000000 seeds, 17688001 converged
[shard 10] 17690000/70000000 seeds, 17690001 converged
[shard 10] 17692000/70000000 seeds, 17692001 converged
[shard 10] 17694000/70000000 seeds, 17694001 converged
[shard 10] 17696000/70000000 seeds, 17696001 converged
[shard 10] 17698000/70000000 seeds, 17698001 converged
[shard 10] 17700000/70000000 seeds, 17700001 converged
[shard 10] 17702000/70000000 seeds, 17702001 converged
[shard 10] 17704000/70000000 seeds, 17704001 converged
[shard 10] 17706000/70000000 seeds, 17706001 converged
[shard 10] 17708000/70000000 seeds, 17708001 converged
[shard 10] 17710000/70000000 seeds, 17710001 converged
[shard 10] 17712000/70000000 seeds, 17712001 converged
[shard 10] 17714000/70000000 seeds, 17714001 converged
[shard 10] 17716000/70000000 seeds, 17716001 converged
[shard 10] 17718000/70000000 seeds, 17718001 converged
[shard 10] 17720000/70000000 seeds, 17720001 converged
[shard 10] 17722000/70000000 seeds, 17722001 converged
[shard 10] 17724000/70000000 seeds, 17724001 converged
[shard 10] 17726000/70000000 seeds, 17726001 converged
[shard 10] 17728000/70000000 seeds, 17728001 converged
[shard 10] 17730000/70000000 seeds, 17730001 converged
[shard 10] 17732000/70000000 seeds, 17732001 converged
[shard 10] 17734000/70000000 seeds, 17734001 converged
[shard 10] 17736000/70000000 seeds, 17736001 converged
[shard 10] 17738000/70000000 seeds, 17738001 converged
[shard 10] 17740000/70000000 seeds, 17740001 converged
[shard 10] 17742000/70000000 seeds, 17742001 converged
[shard 10] 17744000/70000000 seeds, 17744001 converged
[shard 10] 17746000/70000000 seeds, 17746001 converged
[shard 10] 17748000/70000000 seeds, 17748001 converged
[shard 10] 17750000/70000000 seeds, 17750001 converged
[shard 10] 17752000/70000000 seeds, 17752001 converged
[shard 10] 17754000/70000000 seeds, 17754001 converged
[shard 10] 17756000/70000000 seeds, 17756001 converged
[shard 10] 17758000/70000000 seeds, 17758001 converged
[shard 10] 17760000/70000000 seeds, 17760001 converged
[shard 10] 17762000/70000000 seeds, 17762001 converged
[shard 10] 17764000/70000000 seeds, 17764001 converged
[shard 10] 17766000/70000000 seeds, 17766001 converged
[shard 10] 17768000/70000000 seeds, 17768001 converged
[shard 10] 17770000/70000000 seeds, 17770001 converged
[shard 10] 17772000/70000000 seeds, 17772001 converged
[shard 10] 17774000/70000000 seeds, 17774001 converged
[shard 10] 17776000/70000000 seeds, 17776001 converged
[shard 10] 17778000/70000000 seeds, 17778001 converged
[shard 10] 17780000/70000000 seeds, 17780001 converged
[shard 10] 17782000/70000000 seeds, 17782001 converged
[shard 10] 17784000/70000000 seeds, 17784001 converged
[shard 10] 17786000/70000000 seeds, 17786001 converged
[shard 10] 17788000/70000000 seeds, 17788001 converged
[shard 10] 17790000/70000000 seeds, 17790001 converged
[shard 10] 17792000/70000000 seeds, 17792001 converged
[shard 10] 17794000/70000000 seeds, 17794001 converged
[shard 10] 17796000/70000000 seeds, 17796001 converged
[shard 10] 17798000/70000000 seeds, 17798001 converged
[shard 10] 17800000/70000000 seeds, 17800001 converged
[shard 10] 17802000/70000000 seeds, 17802001 converged
[shard 10] 17804000/70000000 seeds, 17804001 converged
[shard 10] 17806000/70000000 seeds, 17806001 converged
[shard 10] 17808000/70000000 seeds, 17808001 converged
[shard 10] 17810000/70000000 seeds, 17810001 converged
[shard 10] 17812000/70000000 seeds, 17812001 converged
[shard 10] 17814000/70000000 seeds, 17814001 converged
[shard 10] 17816000/70000000 seeds, 17816001 converged
[shard 10] 17818000/70000000 seeds, 17818001 converged
[shard 10] 17820000/70000000 seeds, 17820001 converged
[shard 10] 17822000/70000000 seeds, 17822001 converged
[shard 10] 17824000/70000000 seeds, 17824001 converged
[shard 10] 17826000/70000000 seeds, 17826001 converged
[shard 10] 17828000/70000000 seeds, 17828001 converged
[shard 10] 17830000/70000000 seeds, 17830001 converged
[shard 10] 17832000/70000000 seeds, 17832001 converged
[shard 10] 17834000/70000000 seeds, 17834001 converged
[shard 10] 17836000/70000000 seeds, 17836001 converged
[shard 10] 17838000/70000000 seeds, 17838001 converged
[shard 10] 17840000/70000000 seeds, 17840001 converged
[shard 10] 17842000/70000000 seeds, 17842001 converged
[shard 10] 17844000/70000000 seeds, 17844001 converged
[shard 10] 17846000/70000000 seeds, 17846001 converged
[shard 10] 17848000/70000000 seeds, 17848001 converged
[shard 10] 17850000/70000000 seeds, 17850001 converged
[shard 10] 17852000/70000000 seeds, 17852001 converged
[shard 10] 17854000/70000000 seeds, 17854001 converged
[shard 10] 17856000/70000000 seeds, 17856001 converged
[shard 10] 17858000/70000000 seeds, 17858001 converged
[shard 10] 17860000/70000000 seeds, 17860001 converged
[shard 10] 17862000/70000000 seeds, 17862001 converged
[shard 10] 17864000/70000000 seeds, 17864001 converged
[shard 10] 17866000/70000000 seeds, 17866001 converged
[shard 10] 17868000/70000000 seeds, 17868001 converged
[shard 10] 17870000/70000000 seeds, 17870001 converged
[shard 10] 17872000/70000000 seeds, 17872001 converged
[shard 10] 17874000/70000000 seeds, 17874001 converged
[shard 10] 17876000/70000000 seeds, 17876001 converged
[shard 10] 17878000/70000000 seeds, 17878001 converged
[shard 10] 17880000/70000000 seeds, 17880001 converged
[shard 10] 17882000/70000000 seeds, 17882001 converged
[shard 10] 17884000/70000000 seeds, 17884001 converged
[shard 10] 17886000/70000000 seeds, 17886001 converged
[shard 10] 17888000/70000000 seeds, 17888001 converged
[shard 10] 17890000/70000000 seeds, 17890001 converged
[shard 10] 17892000/70000000 seeds, 17892001 converged
[shard 10] 17894000/70000000 seeds, 17894001 converged
[shard 10] 17896000/70000000 seeds, 17896001 converged
[shard 10] 17898000/70000000 seeds, 17898001 converged
[shard 10] 17900000/70000000 seeds, 17900001 converged
[shard 10] 17902000/70000000 seeds, 17902001 converged
[shard 10] 17904000/70000000 seeds, 17904001 converged
[shard 10] 17906000/70000000 seeds, 17906001 converged
[shard 10] 17908000/70000000 seeds, 17908001 converged
[shard 10] 17910000/70000000 seeds, 17910001 converged
[shard 10] 17912000/70000000 seeds, 17912001 converged
[shard 10] 17914000/70000000 seeds, 17914001 converged
[shard 10] 17916000/70000000 seeds, 17916001 converged
[shard 10] 17918000/70000000 seeds, 17918001 converged
[shard 10] 17920000/70000000 seeds, 17920001 converged
[shard 10] 17922000/70000000 seeds, 17922001 converged
[shard 10] 17924000/70000000 seeds, 17924001 converged
[shard 10] 17926000/70000000 seeds, 17926001 converged
[shard 10] 17928000/70000000 seeds, 17928001 converged
[shard 10] 17930000/70000000 seeds, 17930001 converged
[shard 10] 17932000/70000000 seeds, 17932001 converged
[shard 10] 17934000/70000000 seeds, 17934001 converged
[shard 10] 17936000/70000000 seeds, 17936001 converged
[shard 10] 17938000/70000000 seeds, 17938001 converged
[shard 10] 17940000/70000000 seeds, 17940001 converged
[shard 10] 17942000/70000000 seeds, 17942001 converged
[shard 10] 17944000/70000000 seeds, 17944001 converged
[shard 10] 17946000/70000000 seeds, 17946001 converged
[shard 10] 17948000/70000000 seeds, 17948001 converged
[shard 10] 17950000/70000000 seeds, 17950001 converged
[shard 10] 17952000/70000000 seeds, 17952001 converged
[shard 10] 17954000/70000000 seeds, 17954001 converged
[shard 10] 17956000/70000000 seeds, 17956001 converged
[shard 10] 17958000/70000000 seeds, 17958001 converged
[shard 10] 17960000/70000000 seeds, 17960001 converged
[shard 10] 17962000/70000000 seeds, 17962001 converged
[shard 10] 17964000/70000000 seeds, 17964001 converged
[shard 10] 17966000/70000000 seeds, 17966001 converged
[shard 10] 17968000/70000000 seeds, 17968001 converged
[shard 10] 17970000/70000000 seeds, 17970001 converged
[shard 10] 17972000/70000000 seeds, 17972001 converged
[shard 10] 17974000/70000000 seeds, 17974001 converged
[shard 10] 17976000/70000000 seeds, 17976001 converged
[shard 10] 17978000/70000000 seeds, 17978001 converged
[shard 10] 17980000/70000000 seeds, 17980001 converged
[shard 10] 17982000/70000000 seeds, 17982001 converged
[shard 10] 17984000/70000000 seeds, 17984001 converged
[shard 10] 17986000/70000000 seeds, 17986001 converged
[shard 10] 17988000/70000000 seeds, 17988001 converged
[shard 10] 17990000/70000000 seeds, 17990001 converged
[shard 10] 17992000/70000000 seeds, 17992001 converged
[shard 10] 17994000/70000000 seeds, 17994001 converged
[shard 10] 17996000/70000000 seeds, 17996001 converged
[shard 10] 17998000/70000000 seeds, 17998001 converged
[shard 10] 18000000/70000000 seeds, 18000001 converged
[shard 10] 18002000/70000000 seeds, 18002001 converged
[shard 10] 18004000/70000000 seeds, 18004001 converged
[shard 10] 18006000/70000000 seeds, 18006001 converged
[shard 10] 18008000/70000000 seeds, 18008001 converged
[shard 10] 18010000/70000000 seeds, 18010001 converged
[shard 10] 18012000/70000000 seeds, 18012001 converged
[shard 10] 18014000/70000000 seeds, 18014001 converged
[shard 10] 18016000/70000000 seeds, 18016001 converged
[shard 10] 18018000/70000000 seeds, 18018001 converged
[shard 10] 18020000/70000000 seeds, 18020001 converged
[shard 10] 18022000/70000000 seeds, 18022001 converged
[shard 10] 18024000/70000000 seeds, 18024001 converged
[shard 10] 18026000/70000000 seeds, 18026001 converged
[shard 10] 18028000/70000000 seeds, 18028001 converged
[shard 10] 18030000/70000000 seeds, 18030001 converged
[shard 10] 18032000/70000000 seeds, 18032001 converged
[shard 10] 18034000/70000000 seeds, 18034001 converged
[shard 10] 18036000/70000000 seeds, 18036001 converged
[shard 10] 18038000/70000000 seeds, 18038001 converged
[shard 10] 18040000/70000000 seeds, 18040001 converged
[shard 10] 18042000/70000000 seeds, 18042001 converged
[shard 10] 18044000/70000000 seeds, 18044001 converged
[shard 10] 18046000/70000000 seeds, 18046001 converged
[shard 10] 18048000/70000000 seeds, 18048001 converged
[shard 10] 18050000/70000000 seeds, 18050001 converged
[shard 10] 18052000/70000000 seeds, 18052001 converged
[shard 10] 18054000/70000000 seeds, 18054001 converged
[shard 10] 18056000/70000000 seeds, 18056001 converged
[shard 10] 18058000/70000000 seeds, 18058001 converged
[shard 10] 18060000/70000000 seeds, 18060001 converged
[shard 10] 18062000/70000000 seeds, 18062001 converged
[shard 10] 18064000/70000000 seeds, 18064001 converged
[shard 10] 18066000/70000000 seeds, 18066001 converged
[shard 10] 18068000/70000000 seeds, 18068001 converged
[shard 10] 18070000/70000000 seeds, 18070001 converged
[shard 10] 18072000/70000000 seeds, 18072001 converged
[shard 10] 18074000/70000000 seeds, 18074001 converged
[shard 10] 18076000/70000000 seeds, 18076001 converged
[shard 10] 18078000/70000000 seeds, 18078001 converged
[shard 10] 18080000/70000000 seeds, 18080001 converged
[shard 10] 18082000/70000000 seeds, 18082001 converged
[shard 10] 18084000/70000000 seeds, 18084001 converged
[shard 10] 18086000/70000000 seeds, 18086001 converged
[shard 10] 18088000/70000000 seeds, 18088001 converged
[shard 10] 18090000/70000000 seeds, 18090001 converged
[shard 10] 18092000/70000000 seeds, 18092001 converged
[shard 10] 18094000/70000000 seeds, 18094001 converged
[shard 10] 18096000/70000000 seeds, 18096001 converged
[shard 10] 18098000/70000000 seeds, 18098001 converged
[shard 10] 18100000/70000000 seeds, 18100001 converged
[shard 10] 18102000/70000000 seeds, 18102001 converged
[shard 10] 18104000/70000000 seeds, 18104001 converged
[shard 10] 18106000/70000000 seeds, 18106001 converged
[shard 10] 18108000/70000000 seeds, 18108001 converged
[shard 10] 18110000/70000000 seeds, 18110001 converged
[shard 10] 18112000/70000000 seeds, 18112001 converged
[shard 10] 18114000/70000000 seeds, 18114001 converged
[shard 10] 18116000/70000000 seeds, 18116001 converged
[shard 10] 18118000/70000000 seeds, 18118001 converged
[shard 10] 18120000/70000000 seeds, 18120001 converged
[shard 10] 18122000/70000000 seeds, 18122001 converged
[shard 10] 18124000/70000000 seeds, 18124001 converged
[shard 10] 18126000/70000000 seeds, 18126001 converged
[shard 10] 18128000/70000000 seeds, 18128001 converged
[shard 10] 18130000/70000000 seeds, 18130001 converged
[shard 10] 18132000/70000000 seeds, 18132001 converged
[shard 10] 18134000/70000000 seeds, 18134001 converged
[shard 10] 18136000/70000000 seeds, 18136001 converged
[shard 10] 18138000/70000000 seeds, 18138001 converged
[shard 10] 18140000/70000000 seeds, 18140001 converged
[shard 10] 18142000/70000000 seeds, 18142001 converged
[shard 10] 18144000/70000000 seeds, 18144001 converged
[shard 10] 18146000/70000000 seeds, 18146001 converged
[shard 10] 18148000/70000000 seeds, 18148001 converged
[shard 10] 18150000/70000000 seeds, 18150001 converged
[shard 10] 18152000/70000000 seeds, 18152001 converged
[shard 10] 18154000/70000000 seeds, 18154001 converged
[shard 10] 18156000/70000000 seeds, 18156001 converged
[shard 10] 18158000/70000000 seeds, 18158001 converged
[shard 10] 18160000/70000000 seeds, 18160001 converged
[shard 10] 18162000/70000000 seeds, 18162001 converged
[shard 10] 18164000/70000000 seeds, 18164001 converged
[shard 10] 18166000/70000000 seeds, 18166001 converged
[shard 10] 18168000/70000000 seeds, 18168001 converged
[shard 10] 18170000/70000000 seeds, 18170001 converged
[shard 10] 18172000/70000000 seeds, 18172001 converged
[shard 10] 18174000/70000000 seeds, 18174001 converged
[shard 10] 18176000/70000000 seeds, 18176001 converged
[shard 10] 18178000/70000000 seeds, 18178001 converged
[shard 10] 18180000/70000000 seeds, 18180001 converged
[shard 10] 18182000/70000000 seeds, 18182001 converged
[shard 10] 18184000/70000000 seeds, 18184001 converged
[shard 10] 18186000/70000000 seeds, 18186001 converged
[shard 10] 18188000/70000000 seeds, 18188001 converged
[shard 10] 18190000/70000000 seeds, 18190001 converged
[shard 10] 18192000/70000000 seeds, 18192001 converged
[shard 10] 18194000/70000000 seeds, 18194001 converged
[shard 10] 18196000/70000000 seeds, 18196001 converged
[shard 10] 18198000/70000000 seeds, 18198001 converged
[shard 10] 18200000/70000000 seeds, 18200001 converged
[shard 10] 18202000/70000000 seeds, 18202001 converged
[shard 10] 18204000/70000000 seeds, 18204001 converged
[shard 10] 18206000/70000000 seeds, 18206001 converged
[shard 10] 18208000/70000000 seeds, 18208001 converged
[shard 10] 18210000/70000000 seeds, 18210001 converged
[shard 10] 18212000/70000000 seeds, 18212001 converged
[shard 10] 18214000/70000000 seeds, 18214001 converged
[shard 10] 18216000/70000000 seeds, 18216001 converged
[shard 10] 18218000/70000000 seeds, 18218001 converged
[shard 10] 18220000/70000000 seeds, 18220001 converged
[shard 10] 18222000/70000000 seeds, 18222001 converged
[shard 10] 18224000/70000000 seeds, 18224001 converged
[shard 10] 18226000/70000000 seeds, 18226001 converged
[shard 10] 18228000/70000000 seeds, 18228001 converged
[shard 10] 18230000/70000000 seeds, 18230001 converged
[shard 10] 18232000/70000000 seeds, 18232001 converged
[shard 10] 18234000/70000000 seeds, 18234001 converged
[shard 10] 18236000/70000000 seeds, 18236001 converged
[shard 10] 18238000/70000000 seeds, 18238001 converged
[shard 10] 18240000/70000000 seeds, 18240001 converged
[shard 10] 18242000/70000000 seeds, 18242001 converged
[shard 10] 18244000/70000000 seeds, 18244001 converged
[shard 10] 18246000/70000000 seeds, 18246001 converged
[shard 10] 18248000/70000000 seeds, 18248001 converged
[shard 10] 18250000/70000000 seeds, 18250001 converged
[shard 10] 18252000/70000000 seeds, 18252001 converged
[shard 10] 18254000/70000000 seeds, 18254001 converged
[shard 10] 18256000/70000000 seeds, 18256001 converged
[shard 10] 18258000/70000000 seeds, 18258001 converged
[shard 10] 18260000/70000000 seeds, 18260001 converged
[shard 10] 18262000/70000000 seeds, 18262001 converged
[shard 10] 18264000/70000000 seeds, 18264001 converged
[shard 10] 18266000/70000000 seeds, 18266001 converged
[shard 10] 18268000/70000000 seeds, 18268001 converged
[shard 10] 18270000/70000000 seeds, 18270001 converged
[shard 10] 18272000/70000000 seeds, 18272001 converged
[shard 10] 18274000/70000000 seeds, 18274001 converged
[shard 10] 18276000/70000000 seeds, 18276001 converged
[shard 10] 18278000/70000000 seeds, 18278001 converged
[shard 10] 18280000/70000000 seeds, 18280001 converged
[shard 10] 18282000/70000000 seeds, 18282001 converged
[shard 10] 18284000/70000000 seeds, 18284001 converged
[shard 10] 18286000/70000000 seeds, 18286001 converged
[shard 10] 18288000/70000000 seeds, 18288001 converged
[shard 10] 18290000/70000000 seeds, 18290001 converged
[shard 10] 18292000/70000000 seeds, 18292001 converged
[shard 10] 18294000/70000000 seeds, 18294001 converged
[shard 10] 18296000/70000000 seeds, 18296001 converged
[shard 10] 18298000/70000000 seeds, 18298001 converged
[shard 10] 18300000/70000000 seeds, 18300001 converged
[shard 10] 18302000/70000000 seeds, 18302001 converged
[shard 10] 18304000/70000000 seeds, 18304001 converged
