label,phase,depth_lo,depth_hi,max_offset,kind,attempts,columns,events,pass_events,fail_events,c0_zero_events,c0_zero_rate,rank_actual,affine_rank_actual,rank_fail,affine_rank_fail,capacity,capacity_deficit_actual,column_nullity_actual,full_column_rank_actual,constant_actual_columns,duplicate_actual_column_patterns,max_duplicate_actual_pattern,rank_status
512-,24,512,,103,pre_onset_lock,1,12,12,12,0,12,1.0,1,0,0,0,1,0,11,0,12,10,7,full_capacity
512-,24,512,,1600,pre_onset_lock,1,97,97,96,1,97,1.0,1,0,1,0,1,0,96,0,97,95,91,full_capacity
all,102,,,77,pre_onset_lock,47,8,376,272,104,373,0.9920212765957447,8,8,8,8,8,0,0,1,0,0,1,full_capacity
all,102,,,103,pre_onset_lock,47,10,470,310,160,466,0.9914893617021276,10,10,10,10,10,0,0,1,0,0,1,full_capacity
all,102,,,1600,pre_onset_lock,47,95,4465,3851,614,4432,0.9926091825307951,30,30,30,30,47,17,65,0,0,1,2,sample_limited_dependency
40-77,102,40,77,77,pre_onset_lock,37,8,296,192,104,293,0.9898648648648649,8,8,8,8,8,0,0,1,0,0,1,full_capacity
40-77,102,40,77,103,pre_onset_lock,37,10,370,221,149,366,0.9891891891891892,10,10,10,10,10,0,0,1,0,0,1,full_capacity
40-77,102,40,77,1600,pre_onset_lock,37,95,3515,2917,598,3482,0.9906116642958748,29,29,29,29,37,8,66,0,0,1,2,sample_limited_dependency
78-103,102,78,103,77,pre_onset_lock,10,8,80,80,0,80,1.0,1,0,0,0,8,7,7,0,8,6,7,column_dependency
78-103,102,78,103,103,pre_onset_lock,10,10,100,89,11,100,1.0,3,2,2,2,10,7,7,0,8,6,7,column_dependency
78-103,102,78,103,1600,pre_onset_lock,10,95,950,934,16,950,1.0,4,3,3,3,10,6,91,0,88,90,87,sample_limited_dependency
80-,102,80,,77,pre_onset_lock,8,8,64,64,0,64,1.0,1,0,0,0,8,7,7,0,8,6,7,column_dependency
80-,102,80,,103,pre_onset_lock,8,10,80,72,8,80,1.0,1,0,1,0,8,7,9,0,10,8,8,sample_limited_dependency
80-,102,80,,1600,pre_onset_lock,8,95,760,747,13,760,1.0,2,1,2,1,8,6,93,0,90,92,88,sample_limited_dependency
104-,102,104,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
104-,102,104,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
104-,102,104,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
208-,102,208,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
208-,102,208,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
208-,102,208,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,102,512,,77,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,102,512,,103,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
512-,102,512,,1600,pre_onset_lock,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,empty
