attempt_id,idx,shard,onset,rngstate,threshold,start,time_frac,actual_phase,depth,first_bad_offset,depth_minus_offset,eval_phase,bad_kind,rel_x,rel_y,l1,linf,period_index,offset_mod_period,phase_drift_x,phase_drift_y,comoving_rel_x,comoving_rel_y,comoving_l1,comoving_linf,linear_linf_residual,required_black,actual_black,origin_x,origin_y,heading,abs_x,abs_y,depth_bin,physical_key,is_physical_first
0:32,0,0,313358,4700473787566636120,40,311063,0.9926761084765667,0,76,76,0,0,missing_black,-6,0,6,6,0,76,-2,-2,-6,0,6,6,4.538461538461538,1,0,28,59,1,28,53,40-77,0:311063:0:28:59:1:76:-6:0:missing_black:1:0,1
0:33,0,0,313358,4700473787566636120,80,313222,0.9995659916134262,100,102,102,0,100,missing_black,-3,-1,4,3,0,102,-2,-2,-3,-1,4,3,1.0384615384615385,1,0,-15,59,2,-12,60,78-103,0:313222:100:-15:59:2:102:-3:-1:missing_black:1:0,1
1:0,1,1,307906,4692330403214779697,40,912,0.0029619429306346743,0,61,61,0,0,frontier_black_collision,-7,-2,9,7,0,61,-2,-2,-7,-2,9,7,5.826923076923077,0,1,4,12,2,11,14,40-77,1:912:0:4:12:2:61:-7:-2:frontier_black_collision:0:1,1
1:1,1,1,307906,4692330403214779697,40,11621,0.0377420381545017,30,47,47,0,30,missing_black,4,-3,7,4,0,47,2,2,4,-3,7,4,3.0961538461538463,1,0,-15,14,1,-12,18,40-77,1:11621:30:-15:14:1:47:4:-3:missing_black:1:0,1
1:2,1,1,307906,4692330403214779697,80,16141,0.05242184303001565,30,86,86,0,30,missing_black,1,1,2,1,0,86,2,2,1,1,2,1,-0.6538461538461537,1,0,-19,18,1,-20,19,78-103,1:16141:30:-19:18:1:86:1:1:missing_black:1:0,1
1:3,1,1,307906,4692330403214779697,40,16301,0.05294148214065331,0,45,45,0,0,frontier_black_collision,-5,-2,7,5,0,45,-2,-2,-5,-2,7,5,4.134615384615385,0,1,-21,12,3,-23,17,40-77,1:16301:0:-21:12:3:45:-5:-2:frontier_black_collision:0:1,1
1:4,1,1,307906,4692330403214779697,40,30849,0.10018966827538274,0,77,77,0,0,missing_black,-5,0,5,5,0,77,-2,-2,-5,0,5,5,3.519230769230769,1,0,-21,-12,3,-21,-7,40-77,1:30849:0:-21:-12:3:77:-5:0:missing_black:1:0,1
1:5,1,1,307906,4692330403214779697,40,39782,0.12920176937117173,103,46,46,0,103,frontier_black_collision,3,-5,8,5,0,46,2,-2,3,-5,8,5,4.115384615384615,0,1,-31,7,2,-34,12,40-77,1:39782:103:-31:7:2:46:3:-5:frontier_black_collision:0:1,1
1:6,1,1,307906,4692330403214779697,40,48148,0.15637239936863848,25,45,45,0,25,frontier_black_collision,-1,-6,7,6,0,45,2,-2,-1,-6,7,6,5.134615384615385,0,1,-38,16,2,-37,22,40-77,1:48148:25:-38:16:2:45:-1:-6:frontier_black_collision:0:1,1
1:7,1,1,307906,4692330403214779697,40,56648,0.18397822712126427,97,52,52,0,97,frontier_black_collision,-4,4,8,4,0,52,-2,2,-4,4,8,4,3.0,0,1,-36,18,0,-40,22,40-77,1:56648:97:-36:18:0:52:-4:4:frontier_black_collision:0:1,1
1:8,1,1,307906,4692330403214779697,40,70168,0.22788773197014672,0,45,45,0,0,frontier_black_collision,-5,-2,7,5,0,45,-2,-2,-5,-2,7,5,4.134615384615385,0,1,32,-16,0,27,-18,40-77,1:70168:0:32:-16:0:45:-5:-2:frontier_black_collision:0:1,1
1:9,1,1,307906,4692330403214779697,40,77526,0.2517846355705962,24,77,77,0,24,missing_black,-1,2,3,2,0,77,-2,-2,-1,2,3,2,0.5192307692307692,1,0,-27,-13,0,-28,-11,40-77,1:77526:24:-27:-13:0:77:-1:2:missing_black:1:0,1
1:10,1,1,307906,4692330403214779697,40,91298,0.296512572018733,0,77,77,0,0,missing_black,-5,0,5,5,0,77,-2,-2,-5,0,5,5,3.519230769230769,1,0,3,41,2,8,41,40-77,1:91298:0:3:41:2:77:-5:0:missing_black:1:0,1
1:11,1,1,307906,4692330403214779697,40,95519,0.3102213013062428,0,45,45,0,0,frontier_black_collision,-5,-2,7,5,0,45,-2,-2,-5,-2,7,5,4.134615384615385,0,1,44,27,1,46,22,40-77,1:95519:0:44:27:1:45:-5:-2:frontier_black_collision:0:1,1
1:12,1,1,307906,4692330403214779697,80,99689,0.3237643956272369,103,134,134,0,103,frontier_black_collision,7,-3,10,7,1,30,2,-2,5,-1,6,5,4.423076923076923,0,1,-29,-12,3,-32,-19,104-207,1:99689:103:-29:-12:3:134:7:-3:frontier_black_collision:0:1,1
1:13,1,1,307906,4692330403214779697,40,114532,0.3719706663722045,0,76,76,0,0,missing_black,-6,0,6,6,0,76,-2,-2,-6,0,6,6,4.538461538461538,1,0,-28,36,2,-22,36,40-77,1:114532:0:-28:36:2:76:-6:0:missing_black:1:0,1
1:14,1,1,307906,4692330403214779697,40,151696,0.49266984079556747,30,46,46,0,30,missing_black,5,-3,8,5,0,46,2,2,5,-3,8,5,4.115384615384615,1,0,-8,52,0,-3,49,40-77,1:151696:30:-8:52:0:46:5:-3:missing_black:1:0,1
1:15,1,1,307906,4692330403214779697,40,159628,0.5184309497054296,0,45,45,0,0,frontier_black_collision,-5,-2,7,5,0,45,-2,-2,-5,-2,7,5,4.134615384615385,0,1,52,-28,0,47,-30,40-77,1:159628:0:52:-28:0:45:-5:-2:frontier_black_collision:0:1,1
