class_rank,phase,comoving_rel_x,comoving_rel_y,required_black,first_bad_count,read_events,pass_events,fail_events,pass_rate,attempts_with_class,attempts_all_pass,attempts_any_fail,attempts_mixed_pass_fail,pre_onset_events,pre_onset_pass_events,pre_onset_fail_events,entry_events,entry_pass_events,entry_fail_events,first_bad_events,unique_abs_cells,first_bad_abs_cells,pass_abs_cells,fail_abs_cells,actual_black_values,offset_mod_values,comoving_linf,raw_linf_min,raw_linf_max,top_abs_cells
108,0,-4,-3,0,1,4710,4353,357,0.924203821656051,314,226,88,88,4560,4203,357,150,150,0,1,4099,1,3811,331,0;1,47,4,4,32,"16,67:5;0,51:4;2,53:4;4,55:4;6,57:4;8,59:4;10,61:4;12,63:4"
109,100,-3,-5,0,1,390,370,20,0.9487179487179487,26,22,4,4,360,340,20,30,30,0,1,376,1,356,20,0;1,42,5,5,33,"-10,66:2;-8,68:2;-6,70:2;-4,72:2;-2,74:2;0,76:2;2,78:2;4,80:2"
110,99,-5,4,1,1,22,21,1,0.9545454545454546,22,21,1,0,21,20,1,1,1,0,1,22,1,21,1,0;1,49,5,5,5,"-13,61:1;-47,21:1;53,5:1;-15,53:1;65,-21:1;28,-8:1;-35,56:1;-35,-4:1"
111,99,-3,6,1,1,22,17,5,0.7727272727272727,22,17,5,0,21,16,5,1,1,0,1,22,1,17,5,0;1,81,6,6,6,"-11,59:1;-49,23:1;51,7:1;-13,51:1;63,-19:1;26,-6:1;-33,58:1;-33,-2:1"
112,102,-8,-2,0,1,735,648,87,0.8816326530612245,49,24,25,25,705,618,87,30,30,0,1,713,1,630,87,0;1,72,8,8,36,"3,-22:2;5,-24:2;7,-26:2;9,-28:2;11,-30:2;13,-32:2;15,-34:2;17,-36:2"
113,98,6,6,0,1,90,75,15,0.8333333333333334,6,3,3,3,75,60,15,15,15,0,1,90,1,75,15,0;1,68,6,6,34,"-80,-86:1;-82,-88:1;-84,-90:1;-86,-92:1;-88,-94:1;-90,-96:1;-92,-98:1;-94,-100:1"
114,103,1,-6,1,1,128,47,81,0.3671875,128,47,81,0,125,44,81,3,3,0,1,128,1,47,81,0;1,77,6,6,6,"24,30:1;46,-25:1;11,45:1;14,-59:1;62,-47:1;-32,13:1;-35,-13:1;85,-10:1"
115,16,5,2,0,1,120,107,13,0.8916666666666667,8,6,2,2,120,107,13,0,0,0,1,120,1,107,13,0;1,41,5,5,33,"19,64:1;21,66:1;23,68:1;25,70:1;27,72:1;29,74:1;31,76:1;33,78:1"
116,103,2,-5,1,1,128,69,59,0.5390625,128,69,59,0,125,66,59,3,3,0,1,128,1,69,59,0;1,51,5,5,5,"23,31:1;47,-24:1;10,46:1;13,-60:1;63,-46:1;-33,12:1;-34,-14:1;86,-9:1"
117,101,-3,5,0,1,6,4,2,0.6666666666666666,6,4,2,0,6,4,2,0,0,0,1,6,1,4,2,0;1,46,5,5,5,"29,-22:1;-45,8:1;61,38:1;-34,66:1;-5,27:1;57,-13:1"
118,103,4,-5,0,1,1920,1785,135,0.9296875,128,67,61,61,1875,1740,135,45,45,0,1,1837,1,1714,135,0;1,47,5,5,33,"-11,-38:2;-13,-36:2;-15,-34:2;-17,-32:2;-68,-84:2;-70,-86:2;-72,-88:2;41,6:2"
