Lpred,H,threshold,deep_bin,bite_bin,deep_count_low,deep_count_high,deep_rate_low,deep_rate_high,bite_count_low,bite_count_high,bite_rate_low,bite_rate_high,n,mean_deep_rate,mean_bite_rate,events,hazard
1040,312,40,2,4,239,256,0.2298076923076923,0.24615384615384617,102,308,0.09807692307692308,0.29615384615384616,5572,0.23475895963333807,0.10789507289193395,888,0.15936826992103373
1040,312,40,3,0,257,272,0.24711538461538463,0.26153846153846155,0,1,0.0,0.0009615384615384616,117077,0.2549405026673368,0.00011964512506892926,4161,0.03554071252252791
1040,312,40,3,1,257,272,0.24711538461538463,0.26153846153846155,2,28,0.0019230769230769232,0.026923076923076925,103689,0.2545870250313205,0.013543950215022924,11098,0.10703160412387042
1040,312,40,3,2,257,272,0.24711538461538463,0.26153846153846155,29,61,0.027884615384615386,0.058653846153846154,79477,0.2533182797926671,0.04027006845715097,10238,0.12881714206625816
1040,312,40,3,3,257,272,0.24711538461538463,0.26153846153846155,62,101,0.05961538461538462,0.09711538461538462,15761,0.25212446252432646,0.06974347586301177,2031,0.1288623818285642
1040,312,40,3,4,257,272,0.24711538461538463,0.26153846153846155,102,308,0.09807692307692308,0.29615384615384616,283,0.25049945637401483,0.10443055178037546,59,0.20848056537102475
1040,312,40,4,0,273,349,0.2625,0.33557692307692305,0,1,0.0,0.0009615384615384616,183369,0.2752000904439305,0.00010832507969430816,6153,0.03355529015264303
1040,312,40,4,1,273,349,0.2625,0.33557692307692305,2,28,0.0019230769230769232,0.026923076923076925,111237,0.2734950358936457,0.011324529884555793,10735,0.09650565908825301
1040,312,40,4,2,273,349,0.2625,0.33557692307692305,29,61,0.027884615384615386,0.058653846153846154,27347,0.2703519370707721,0.03727089316505264,3377,0.12348703696932022
1040,312,40,4,3,273,349,0.2625,0.33557692307692305,62,101,0.05961538461538462,0.09711538461538462,1743,0.2673738911690684,0.06783121496976974,281,0.16121629374641422
1040,312,80,0,0,106,214,0.10192307692307692,0.20576923076923076,0,1,0.0,0.0009615384615384616,49,0.20319858712715855,0.0,0,0.0
1040,312,80,0,1,106,214,0.10192307692307692,0.20576923076923076,2,28,0.0019230769230769232,0.026923076923076925,420,0.20197573260073395,0.01934523809523819,0,0.0
1040,312,80,0,2,106,214,0.10192307692307692,0.20576923076923076,29,61,0.027884615384615386,0.058653846153846154,7889,0.20050886336378582,0.048959237302186466,73,0.009253390797312714
1040,312,80,0,3,106,214,0.10192307692307692,0.20576923076923076,62,101,0.05961538461538462,0.09711538461538462,64904,0.1970082441286367,0.08301104767748978,694,0.01069271539504499
1040,312,80,0,4,106,214,0.10192307692307692,0.20576923076923076,102,308,0.09807692307692308,0.29615384615384616,258154,0.18173776788574128,0.138632754092492,3583,0.013879312348443177
1040,312,80,1,0,215,238,0.20673076923076922,0.22884615384615384,0,1,0.0,0.0009615384615384616,6436,0.22358966390974014,8.889300568915206e-05,13,0.0020198881292728403
1040,312,80,1,1,215,238,0.20673076923076922,0.22884615384615384,2,28,0.0019230769230769232,0.026923076923076925,16861,0.22291929943015718,0.01664189777958105,53,0.003143348555838918
1040,312,80,1,2,215,238,0.20673076923076922,0.22884615384615384,29,61,0.027884615384615386,0.058653846153846154,84290,0.22061172736980394,0.046333046624758976,695,0.00824534345711235
1040,312,80,1,3,215,238,0.20673076923076922,0.22884615384615384,62,101,0.05961538461538462,0.09711538461538462,159659,0.2181279982771005,0.07811245674073485,1267,0.007935662881516231
1040,312,80,1,4,215,238,0.20673076923076922,0.22884615384615384,102,308,0.09807692307692308,0.29615384615384616,60576,0.21460152408668945,0.11269724110088541,670,0.011060486001056524
1040,312,80,2,0,239,256,0.2298076923076923,0.24615384615384617,0,1,0.0,0.0009615384615384616,51531,0.2403427809697478,9.497643688714405e-05,17,0.00032989850769439755
1040,312,80,2,1,239,256,0.2298076923076923,0.24615384615384617,2,28,0.0019230769230769232,0.026923076923076925,69372,0.23939071239106532,0.015576792787154148,223,0.003214553422129966
1040,312,80,2,2,239,256,0.2298076923076923,0.24615384615384617,29,61,0.027884615384615386,0.058653846153846154,125380,0.23807472207548253,0.0431270706284076,627,0.005000797575370873
1040,312,80,2,3,239,256,0.2298076923076923,0.24615384615384617,62,101,0.05961538461538462,0.09711538461538462,75100,0.2364514109391655,0.07319050240701039,400,0.005326231691078562
1040,312,80,2,4,239,256,0.2298076923076923,0.24615384615384617,102,308,0.09807692307692308,0.29615384615384616,5572,0.23475895963333807,0.10789507289193395,30,0.005384063173007897
1040,312,80,3,0,257,272,0.24711538461538463,0.26153846153846155,0,1,0.0,0.0009615384615384616,117077,0.2549405026673368,0.00011964512506892926,155,0.0013239150302792179
1040,312,80,3,1,257,272,0.24711538461538463,0.26153846153846155,2,28,0.0019230769230769232,0.026923076923076925,103689,0.2545870250313205,0.013543950215022924,239,0.002304969668913771
1040,312,80,3,2,257,272,0.24711538461538463,0.26153846153846155,29,61,0.027884615384615386,0.058653846153846154,79477,0.2533182797926671,0.04027006845715097,465,0.005850749273374687
1040,312,80,3,3,257,272,0.24711538461538463,0.26153846153846155,62,101,0.05961538461538462,0.09711538461538462,15761,0.25212446252432646,0.06974347586301177,11,0.0006979252585495844
1040,312,80,3,4,257,272,0.24711538461538463,0.26153846153846155,102,308,0.09807692307692308,0.29615384615384616,283,0.25049945637401483,0.10443055178037546,0,0.0
1040,312,80,4,0,273,349,0.2625,0.33557692307692305,0,1,0.0,0.0009615384615384616,183369,0.2752000904439305,0.00010832507969430816,362,0.001974161390420409
1040,312,80,4,1,273,349,0.2625,0.33557692307692305,2,28,0.0019230769230769232,0.026923076923076925,111237,0.2734950358936457,0.011324529884555793,343,0.0030835063872632308
1040,312,80,4,2,273,349,0.2625,0.33557692307692305,29,61,0.027884615384615386,0.058653846153846154,27347,0.2703519370707721,0.03727089316505264,95,0.0034738728196877173
1040,312,80,4,3,273,349,0.2625,0.33557692307692305,62,101,0.05961538461538462,0.09711538461538462,1743,0.2673738911690684,0.06783121496976974,0,0.0
1040,1040,40,0,0,106,214,0.10192307692307692,0.20576923076923076,0,1,0.0,0.0009615384615384616,49,0.20319858712715855,0.0,0,0.0
1040,1040,40,0,1,106,214,0.10192307692307692,0.20576923076923076,2,28,0.0019230769230769232,0.026923076923076925,420,0.20197573260073395,0.01934523809523819,100,0.23809523809523808
