idx,lock_index,shard,onset,rngstate,threshold,start,time_frac,kind,ok,phase,depth,first_bad_offset,bad_rel_x,bad_rel_y,bad_abs_x,bad_abs_y,required_black,actual_black,bad_kind,verdict,start_mod2,start_mod4,start_mod8,start_mod16
1,18,1,307906,4692330403214779697,40,183333,0.5954187316908407,pre_onset_lock,0,0,45,45,-5,-2,-45,7,0,1,frontier_black_collision,gate_exact_death,1,1,5,5
1,19,1,307906,4692330403214779697,40,187536,0.6090690015784038,pre_onset_lock,0,102,79,79,-6,-1,-2,51,1,0,missing_black,gate_exact_death,0,0,0,0
1,20,1,307906,4692330403214779697,40,222006,0.7210187524764051,pre_onset_lock,0,31,46,46,-3,-3,0,-66,1,0,missing_black,gate_exact_death,0,2,6,6
1,21,1,307906,4692330403214779697,40,229701,0.7460101459536352,pre_onset_lock,0,0,76,76,-6,0,77,-34,1,0,missing_black,gate_exact_death,1,1,5,5
1,22,1,307906,4692330403214779697,40,272646,0.8854845309932252,pre_onset_lock,0,0,45,45,-5,-2,16,-65,0,1,frontier_black_collision,gate_exact_death,0,2,6,6
1,23,1,307906,4692330403214779697,40,278927,0.9058836138301949,pre_onset_lock,0,30,71,71,0,-3,-27,51,1,0,missing_black,gate_exact_death,1,3,7,15
1,24,1,307906,4692330403214779697,80,287881,0.9349639175592551,pre_onset_lock,0,30,87,87,2,1,42,-58,0,1,frontier_black_collision,gate_exact_death,1,1,1,9
1,25,1,307906,4692330403214779697,80,293812,0.954226289841705,pre_onset_lock,0,103,298,298,5,-11,89,-15,0,1,frontier_black_collision,gate_exact_death,0,0,4,4
1,26,1,307906,4692330403214779697,40,295238,0.9588575734152631,pre_onset_lock,0,25,76,76,-2,0,85,-37,1,0,missing_black,gate_exact_death,0,2,6,6
1,27,1,307906,4692330403214779697,40,307677,0.9992562665228999,pre_onset_lock,0,103,45,45,3,-4,17,67,1,0,missing_black,gate_exact_death,1,1,5,13
1,28,1,307906,4692330403214779697,0,307906,1.0,entry,1,0,1248,,,,,,,,,entry_ok,0,2,2,2
2,0,2,302092,694356338346996168,40,776,0.002568753889543583,pre_onset_lock,0,24,52,52,-6,2,-8,-8,1,0,missing_black,gate_exact_death,0,0,0,8
2,1,2,302092,694356338346996168,40,10186,0.03371820505011718,pre_onset_lock,0,30,47,47,4,-3,17,4,1,0,missing_black,gate_exact_death,0,2,2,10
2,2,2,302092,694356338346996168,40,14638,0.04845543741641619,pre_onset_lock,0,0,45,45,-5,-2,-12,17,0,1,frontier_black_collision,gate_exact_death,0,2,6,14
2,3,2,302092,694356338346996168,40,31743,0.10507726123167777,pre_onset_lock,0,103,45,45,3,-4,18,12,1,0,missing_black,gate_exact_death,1,3,7,15
2,4,2,302092,694356338346996168,40,50185,0.16612488910662976,pre_onset_lock,0,0,43,43,-4,-1,-10,22,0,1,frontier_black_collision,gate_exact_death,1,1,1,9
2,5,2,302092,694356338346996168,40,53946,0.17857473882128624,pre_onset_lock,0,103,46,46,3,-5,-34,0,0,1,frontier_black_collision,gate_exact_death,0,2,2,10
2,6,2,302092,694356338346996168,40,62974,0.20845967453623399,pre_onset_lock,0,103,46,46,3,-5,-36,-18,0,1,frontier_black_collision,gate_exact_death,0,2,6,14
2,7,2,302092,694356338346996168,40,67291,0.222750023171749,pre_onset_lock,0,101,74,74,-3,9,-41,8,0,1,frontier_black_collision,gate_exact_death,1,3,3,11
2,8,2,302092,694356338346996168,40,68667,0.22730492697588814,pre_onset_lock,0,103,44,44,2,-4,-34,27,0,1,frontier_black_collision,gate_exact_death,1,3,3,11
2,9,2,302092,694356338346996168,80,71912,0.23804668776399243,pre_onset_lock,0,24,95,95,-2,-3,-34,-31,0,1,frontier_black_collision,gate_exact_death,0,0,0,8
2,10,2,302092,694356338346996168,40,97711,0.3234478238417436,pre_onset_lock,0,25,73,73,-3,-2,-52,-10,1,0,missing_black,gate_exact_death,1,3,7,15
2,11,2,302092,694356338346996168,40,101113,0.33470929385750037,pre_onset_lock,0,103,44,44,2,-4,9,-46,0,1,frontier_black_collision,gate_exact_death,1,1,1,9
2,12,2,302092,694356338346996168,40,111233,0.36820902241701203,pre_onset_lock,0,31,40,40,-2,-6,47,-48,0,1,frontier_black_collision,gate_exact_death,1,1,1,1
2,13,2,302092,694356338346996168,40,111302,0.3684374296571905,pre_onset_lock,0,24,46,46,-7,1,52,-48,0,1,frontier_black_collision,gate_exact_death,0,2,6,6
2,14,2,302092,694356338346996168,40,112271,0.3716450617692623,pre_onset_lock,0,0,55,55,-6,-3,15,-53,0,1,frontier_black_collision,gate_exact_death,1,3,7,15
2,15,2,302092,694356338346996168,40,120431,0.39865670060776187,pre_onset_lock,0,30,47,47,4,-3,-41,-19,1,0,missing_black,gate_exact_death,1,3,7,15
2,16,2,302092,694356338346996168,80,121818,0.40324801716033526,pre_onset_lock,0,102,100,100,-4,0,33,23,1,0,missing_black,gate_exact_death,0,2,2,10
2,17,2,302092,694356338346996168,40,122159,0.40437681236179707,pre_onset_lock,0,31,70,70,-3,1,35,20,1,0,missing_black,gate_exact_death,1,3,7,15
2,18,2,302092,694356338346996168,40,140293,0.46440488328059004,pre_onset_lock,0,0,77,77,-5,0,-67,-5,1,0,missing_black,gate_exact_death,1,1,5,5
2,19,2,302092,694356338346996168,80,162342,0.537392582392119,pre_onset_lock,0,0,150,150,-7,-5,-46,20,0,1,frontier_black_collision,gate_exact_death,0,2,6,6
2,20,2,302092,694356338346996168,40,170122,0.563146326284708,pre_onset_lock,0,0,77,77,-5,0,20,43,1,0,missing_black,gate_exact_death,0,2,2,10
2,21,2,302092,694356338346996168,40,171483,0.5676515763409822,pre_onset_lock,0,31,67,67,-4,-1,39,21,1,0,missing_black,gate_exact_death,1,3,3,11
2,22,2,302092,694356338346996168,40,178380,0.5904823696092582,pre_onset_lock,0,24,46,46,-7,1,5,45,0,1,frontier_black_collision,gate_exact_death,0,0,4,12
2,23,2,302092,694356338346996168,40,185357,0.6135779828661467,pre_onset_lock,0,102,58,58,-7,-5,28,45,0,1,frontier_black_collision,gate_exact_death,1,1,5,13
2,24,2,302092,694356338346996168,40,196228,0.6495637090687605,pre_onset_lock,0,25,73,73,-3,-2,37,-20,1,0,missing_black,gate_exact_death,0,0,4,4
2,25,2,302092,694356338346996168,40,225308,0.7458257749294916,pre_onset_lock,0,0,45,45,-5,-2,5,48,0,1,frontier_black_collision,gate_exact_death,0,0,4,12
2,26,2,302092,694356338346996168,40,287361,0.9512367093468215,pre_onset_lock,0,103,45,45,3,-4,-67,-83,1,0,missing_black,gate_exact_death,1,1,1,1
2,27,2,302092,694356338346996168,40,300583,0.9950048329647921,pre_onset_lock,0,0,45,45,-5,-2,-8,-78,0,1,frontier_black_collision,gate_exact_death,1,3,7,7
2,28,2,302092,694356338346996168,40,301898,0.9993578115276142,pre_onset_lock,0,24,75,75,-2,3,-73,-80,1,0,missing_black,gate_exact_death,0,2,2,10
2,29,2,302092,694356338346996168,0,302092,1.0,entry,1,98,1248,,,,,,,,,entry_ok,0,0,4,12
3,0,3,291397,12567324566037349410,80,2649,0.009090690707179553,pre_onset_lock,0,102,100,100,-4,0,1,-18,1,0,missing_black,gate_exact_death,1,1,1,9
3,1,3,291397,12567324566037349410,40,3544,0.012162101874761922,pre_onset_lock,0,25,45,45,-1,-6,-11,2,0,1,frontier_black_collision,gate_exact_death,0,0,0,8
3,2,3,291397,12567324566037349410,40,3962,0.013596571001074136,pre_onset_lock,0,31,67,67,-4,-1,-7,6,1,0,missing_black,gate_exact_death,0,2,2,10
3,3,3,291397,12567324566037349410,40,9547,0.032762863035652394,pre_onset_lock,0,0,43,43,-4,-1,7,5,0,1,frontier_black_collision,gate_exact_death,1,3,3,11
3,4,3,291397,12567324566037349410,40,16792,0.05762585064362365,pre_onset_lock,0,0,76,76,-6,0,-14,14,1,0,missing_black,gate_exact_death,0,0,0,8
3,5,3,291397,12567324566037349410,40,16932,0.058106294848608596,pre_onset_lock,0,0,77,77,-5,0,-13,16,1,0,missing_black,gate_exact_death,0,0,4,4
3,6,3,291397,12567324566037349410,40,27856,0.09559466981472012,pre_onset_lock,0,100,54,54,-5,-3,-11,19,1,0,missing_black,gate_exact_death,0,0,0,0
3,7,3,291397,12567324566037349410,40,39505,0.13557105941378944,pre_onset_lock,0,30,47,47,4,-3,-18,40,1,0,missing_black,gate_exact_death,1,1,1,1
3,8,3,291397,12567324566037349410,40,48571,0.16668325343088639,pre_onset_lock,0,0,77,77,-5,0,26,16,1,0,missing_black,gate_exact_death,1,3,3,11
3,9,3,291397,12567324566037349410,40,51406,0.17641224858183166,pre_onset_lock,0,0,45,45,-5,-2,12,-25,0,1,frontier_black_collision,gate_exact_death,0,2,6,14
3,10,3,291397,12567324566037349410,40,64136,0.22009835379224907,pre_onset_lock,0,30,69,69,1,-4,9,24,1,0,missing_black,gate_exact_death,0,0,0,8
3,11,3,291397,12567324566037349410,40,66144,0.2269892963894618,pre_onset_lock,0,0,70,70,-7,-1,31,25,0,1,frontier_black_collision,gate_exact_death,0,0,0,0
3,12,3,291397,12567324566037349410,40,66819,0.22930572380635353,pre_onset_lock,0,103,46,46,3,-5,31,28,0,1,frontier_black_collision,gate_exact_death,1,3,3,3
3,13,3,291397,12567324566037349410,40,85744,0.29425148508735505,pre_onset_lock,0,0,44,44,-4,-2,-2,-44,1,0,missing_black,gate_exact_death,0,0,0,0
3,14,3,291397,12567324566037349410,40,86390,0.2964683919189285,pre_onset_lock,0,30,71,71,0,-3,-15,-44,1,0,missing_black,gate_exact_death,0,2,6,6
3,15,3,291397,12567324566037349410,40,95780,0.3286924710961335,pre_onset_lock,0,103,62,62,3,-7,43,27,0,1,frontier_black_collision,gate_exact_death,0,0,4,4
3,16,3,291397,12567324566037349410,40,99796,0.34247435629055895,pre_onset_lock,0,30,68,68,2,-4,-52,-18,1,0,missing_black,gate_exact_death,0,0,4,4
3,17,3,291397,12567324566037349410,40,99873,0.34273860060330064,pre_onset_lock,0,0,71,71,-8,-1,-54,-10,0,1,frontier_black_collision,gate_exact_death,1,1,1,1
3,18,3,291397,12567324566037349410,40,103903,0.3565685302182246,pre_onset_lock,0,98,51,51,4,5,-57,-11,0,1,frontier_black_collision,gate_exact_death,1,3,7,15
3,19,3,291397,12567324566037349410,80,112290,0.3853505698411446,pre_onset_lock,0,0,99,99,-2,1,-41,28,1,0,missing_black,gate_exact_death,0,2,2,2
3,20,3,291397,12567324566037349410,80,112422,0.3858035600915589,pre_onset_lock,0,0,99,99,-2,1,-43,26,1,0,missing_black,gate_exact_death,0,2,6,6
3,21,3,291397,12567324566037349410,80,112525,0.386157029756655,pre_onset_lock,0,99,268,268,-10,10,-53,16,0,1,frontier_black_collision,gate_exact_death,1,1,5,13
3,22,3,291397,12567324566037349410,40,118125,0.4053747979560531,pre_onset_lock,0,31,46,46,-3,-3,44,7,1,0,missing_black,gate_exact_death,1,1,5,13
3,23,3,291397,12567324566037349410,40,133144,0.45691616591797446,pre_onset_lock,0,30,71,71,0,-3,58,-27,1,0,missing_black,gate_exact_death,0,0,0,8
3,24,3,291397,12567324566037349410,40,133217,0.4571666832534309,pre_onset_lock,0,100,49,49,-5,-4,63,-33,0,1,frontier_black_collision,gate_exact_death,1,1,1,1
3,25,3,291397,12567324566037349410,40,136469,0.46832671578636703,pre_onset_lock,0,24,77,77,-1,2,63,-33,1,0,missing_black,gate_exact_death,1,1,5,5
3,26,3,291397,12567324566037349410,40,150376,0.5160519840629794,pre_onset_lock,0,103,72,72,2,-8,66,-42,0,1,frontier_black_collision,gate_exact_death,0,0,0,8
3,27,3,291397,12567324566037349410,40,155171,0.5325071980837139,pre_onset_lock,0,21,40,40,2,-6,-10,-49,0,1,frontier_black_collision,gate_exact_death,1,3,3,3
3,28,3,291397,12567324566037349410,40,199553,0.6848148745525864,pre_onset_lock,0,0,50,50,-5,-1,-44,-43,1,0,missing_black,gate_exact_death,1,1,1,1
3,29,3,291397,12567324566037349410,40,202185,0.6938472256063034,pre_onset_lock,0,31,46,46,-3,-3,-56,-55,1,0,missing_black,gate_exact_death,1,1,1,9
3,30,3,291397,12567324566037349410,40,221405,0.7598053514620947,pre_onset_lock,0,0,43,43,-4,-1,42,18,0,1,frontier_black_collision,gate_exact_death,1,1,5,13
3,31,3,291397,12567324566037349410,40,241150,0.8275651430865795,pre_onset_lock,0,24,47,47,-8,1,1,-56,0,1,frontier_black_collision,gate_exact_death,0,2,6,14
3,32,3,291397,12567324566037349410,40,246606,0.8462887401037074,pre_onset_lock,0,102,47,47,-6,-3,-17,-64,0,1,frontier_black_collision,gate_exact_death,0,2,6,14
3,33,3,291397,12567324566037349410,80,252903,0.8678984340950662,pre_onset_lock,0,0,98,98,-3,1,23,-70,1,0,missing_black,gate_exact_death,1,3,7,7
3,34,3,291397,12567324566037349410,40,253010,0.8682656307374476,pre_onset_lock,0,0,77,77,-5,0,18,-71,1,0,missing_black,gate_exact_death,0,2,2,2
3,35,3,291397,12567324566037349410,40,268569,0.9216601406328823,pre_onset_lock,0,31,46,46,-3,-3,58,21,1,0,missing_black,gate_exact_death,1,1,1,9
3,36,3,291397,12567324566037349410,40,269710,0.9255757609035097,pre_onset_lock,0,0,71,71,-8,-1,51,8,0,1,frontier_black_collision,gate_exact_death,0,2,6,14
3,37,3,291397,12567324566037349410,40,269853,0.9260665003414585,pre_onset_lock,0,99,76,76,-4,8,49,6,0,1,frontier_black_collision,gate_exact_death,1,1,5,13
3,38,3,291397,12567324566037349410,40,270022,0.9266464651317619,pre_onset_lock,0,100,76,76,-8,-4,47,3,0,1,frontier_black_collision,gate_exact_death,0,2,6,6
3,39,3,291397,12567324566037349410,40,287165,0.9854768580321692,pre_onset_lock,0,103,46,46,3,-5,46,41,0,1,frontier_black_collision,gate_exact_death,1,1,5,13
3,40,3,291397,12567324566037349410,0,291397,1.0,entry,1,25,1248,,,,,,,,,entry_ok,1,1,5,5
4,0,4,286748,7781527330408340496,80,5581,0.01946308256727161,pre_onset_lock,0,0,98,98,-3,1,-20,-7,1,0,missing_black,gate_exact_death,1,1,5,13
4,1,4,286748,7781527330408340496,40,5688,0.019836232510776014,pre_onset_lock,0,0,62,62,-7,-3,-13,-3,0,1,frontier_black_collision,gate_exact_death,0,0,0,8
4,2,4,286748,7781527330408340496,40,29073,0.10138867577106031,pre_onset_lock,0,102,40,40,-4,-4,-9,28,0,1,frontier_black_collision,gate_exact_death,1,1,1,1
4,3,4,286748,7781527330408340496,40,32446,0.11315161744807287,pre_onset_lock,0,0,44,44,-4,-2,11,35,1,0,missing_black,gate_exact_death,0,2,6,14
4,4,4,286748,7781527330408340496,80,47044,0.16406042936655182,pre_onset_lock,0,0,685,685,-19,-14,-25,32,0,1,frontier_black_collision,gate_exact_death,0,0,4,4
4,5,4,286748,7781527330408340496,40,51318,0.17896550281083043,pre_onset_lock,0,103,45,45,3,-4,40,7,1,0,missing_black,gate_exact_death,0,2,6,6
4,6,4,286748,7781527330408340496,40,52011,0.1813822589869851,pre_onset_lock,0,31,67,67,-4,-1,43,9,1,0,missing_black,gate_exact_death,1,3,3,11
4,7,4,286748,7781527330408340496,80,52228,0.1821390210219426,pre_onset_lock,0,0,99,99,-2,1,44,11,1,0,missing_black,gate_exact_death,0,0,4,4
4,8,4,286748,7781527330408340496,40,53114,0.18522884204946505,pre_onset_lock,0,30,47,47,4,-3,33,-2,1,0,missing_black,gate_exact_death,0,2,2,10
4,9,4,286748,7781527330408340496,40,57753,0.20140681016083808,pre_onset_lock,0,30,47,47,4,-3,22,-34,1,0,missing_black,gate_exact_death,1,1,1,9
4,10,4,286748,7781527330408340496,40,59640,0.20798750122058393,pre_onset_lock,0,24,77,77,-1,2,-15,-42,1,0,missing_black,gate_exact_death,0,0,0,8
4,11,4,286748,7781527330408340496,40,59921,0.2089674557451142,pre_onset_lock,0,0,70,70,-7,-1,-24,-27,0,1,frontier_black_collision,gate_exact_death,1,1,1,1
4,12,4,286748,7781527330408340496,40,60085,0.2095393864996443,pre_onset_lock,0,100,49,49,-5,-4,-27,-27,0,1,frontier_black_collision,gate_exact_death,1,1,5,5
4,13,4,286748,7781527330408340496,40,62447,0.2177765843179377,pre_onset_lock,0,31,46,46,-3,-3,-31,-32,1,0,missing_black,gate_exact_death,1,3,7,15
4,14,4,286748,7781527330408340496,40,82383,0.2873010448198418,pre_onset_lock,0,0,45,45,-5,-2,-48,-14,0,1,frontier_black_collision,gate_exact_death,1,3,7,15
4,15,4,286748,7781527330408340496,40,97595,0.3403511096851591,pre_onset_lock,0,103,45,45,3,-4,-30,-56,1,0,missing_black,gate_exact_death,1,3,3,11
4,16,4,286748,7781527330408340496,40,119260,0.41590525478817636,pre_onset_lock,0,102,40,40,-4,-4,46,22,0,1,frontier_black_collision,gate_exact_death,0,0,4,12
4,17,4,286748,7781527330408340496,40,134939,0.47058392735084464,pre_onset_lock,0,0,43,43,-4,-1,-45,-27,0,1,frontier_black_collision,gate_exact_death,1,3,3,11
4,18,4,286748,7781527330408340496,40,135455,0.47238341679802476,pre_onset_lock,0,31,46,46,-3,-3,-59,-6,1,0,missing_black,gate_exact_death,1,3,7,15
4,19,4,286748,7781527330408340496,40,148476,0.5177926262781257,pre_onset_lock,0,30,41,41,7,-2,-53,-26,0,1,frontier_black_collision,gate_exact_death,0,0,4,12
4,20,4,286748,7781527330408340496,40,150396,0.5244884009653075,pre_onset_lock,0,24,74,74,-3,3,-55,-25,1,0,missing_black,gate_exact_death,0,0,4,12
4,21,4,286748,7781527330408340496,40,167962,0.5857477645877216,pre_onset_lock,0,0,70,70,-7,-1,-14,50,0,1,frontier_black_collision,gate_exact_death,0,2,2,10
4,22,4,286748,7781527330408340496,40,168109,0.586260409837209,pre_onset_lock,0,99,50,50,-5,5,-14,53,0,1,frontier_black_collision,gate_exact_death,1,1,5,13
4,23,4,286748,7781527330408340496,40,175917,0.6134898935650815,pre_onset_lock,0,0,77,77,-5,0,-71,-9,1,0,missing_black,gate_exact_death,1,1,5,13
4,24,4,286748,7781527330408340496,40,188405,0.6570403280929596,pre_onset_lock,0,103,46,46,3,-5,-54,-39,0,1,frontier_black_collision,gate_exact_death,1,1,5,5
4,25,4,286748,7781527330408340496,40,221396,0.7720925690850503,pre_onset_lock,0,16,61,61,5,-2,19,60,1,0,missing_black,gate_exact_death,0,0,4,4
