idx,pair_index,prev_lock_index,next_lock_index,gap,prev_start,next_start,prev_phase,next_phase,prev_ok,next_ok,prev_bad_kind,next_bad_kind,prev_bad_offset,next_bad_offset,same_phase,same_bad_kind,same_critical_cell,critical_l1,prev_start_mod8,next_start_mod8,prev_start_mod16,next_start_mod16
3,29,29,30,19220,202185,221405,31,0,0,0,missing_black,frontier_black_collision,46,43,0,0,0,171,1,5,9,13
3,30,30,31,19745,221405,241150,0,24,0,0,frontier_black_collision,frontier_black_collision,43,47,0,1,0,115,5,6,13,14
3,31,31,32,5456,241150,246606,24,102,0,0,frontier_black_collision,frontier_black_collision,47,47,0,1,0,26,6,6,14,14
3,32,32,33,6297,246606,252903,102,0,0,0,frontier_black_collision,missing_black,47,98,0,0,0,46,6,7,14,7
3,33,33,34,107,252903,253010,0,0,0,0,missing_black,missing_black,98,77,1,1,0,6,7,2,7,2
3,34,34,35,15559,253010,268569,0,31,0,0,missing_black,missing_black,77,46,0,1,0,132,2,1,2,9
3,35,35,36,1141,268569,269710,31,0,0,0,missing_black,frontier_black_collision,46,71,0,0,0,20,1,6,9,14
3,36,36,37,143,269710,269853,0,99,0,0,frontier_black_collision,frontier_black_collision,71,76,0,1,0,4,6,5,14,13
3,37,37,38,169,269853,270022,99,100,0,0,frontier_black_collision,frontier_black_collision,76,76,0,1,0,5,5,6,13,6
3,38,38,39,17143,270022,287165,100,103,0,0,frontier_black_collision,frontier_black_collision,76,46,0,1,0,39,6,5,6,13
3,39,39,40,4232,287165,291397,103,25,0,1,frontier_black_collision,,46,,0,,,,5,5,13,5
4,0,0,1,107,5581,5688,0,0,0,0,missing_black,frontier_black_collision,98,62,1,0,0,11,5,0,13,8
4,1,1,2,23385,5688,29073,0,102,0,0,frontier_black_collision,frontier_black_collision,62,40,0,1,0,35,0,1,8,1
4,2,2,3,3373,29073,32446,102,0,0,0,frontier_black_collision,missing_black,40,44,0,0,0,27,1,6,1,14
4,3,3,4,14598,32446,47044,0,0,0,0,missing_black,frontier_black_collision,44,685,1,0,0,39,6,4,14,4
4,4,4,5,4274,47044,51318,0,103,0,0,frontier_black_collision,missing_black,685,45,0,0,0,90,4,6,4,6
4,5,5,6,693,51318,52011,103,31,0,0,missing_black,missing_black,45,67,0,1,0,5,6,3,6,11
4,6,6,7,217,52011,52228,31,0,0,0,missing_black,missing_black,67,99,0,1,0,3,3,4,11,4
4,7,7,8,886,52228,53114,0,30,0,0,missing_black,missing_black,99,47,0,1,0,24,4,2,4,10
4,8,8,9,4639,53114,57753,30,30,0,0,missing_black,missing_black,47,47,1,1,0,43,2,1,10,9
4,9,9,10,1887,57753,59640,30,24,0,0,missing_black,missing_black,47,77,0,1,0,45,1,0,9,8
4,10,10,11,281,59640,59921,24,0,0,0,missing_black,frontier_black_collision,77,70,0,0,0,24,0,1,8,1
4,11,11,12,164,59921,60085,0,100,0,0,frontier_black_collision,frontier_black_collision,70,49,0,1,0,3,1,5,1,5
4,12,12,13,2362,60085,62447,100,31,0,0,frontier_black_collision,missing_black,49,46,0,0,0,9,5,7,5,15
4,13,13,14,19936,62447,82383,31,0,0,0,missing_black,frontier_black_collision,46,45,0,0,0,35,7,7,15,15
4,14,14,15,15212,82383,97595,0,103,0,0,frontier_black_collision,missing_black,45,45,0,0,0,60,7,3,15,11
4,15,15,16,21665,97595,119260,103,102,0,0,missing_black,frontier_black_collision,45,40,0,0,0,154,3,4,11,12
4,16,16,17,15679,119260,134939,102,0,0,0,frontier_black_collision,frontier_black_collision,40,43,0,1,0,140,4,3,12,11
4,17,17,18,516,134939,135455,0,31,0,0,frontier_black_collision,missing_black,43,46,0,0,0,35,3,7,11,15
4,18,18,19,13021,135455,148476,31,30,0,0,missing_black,frontier_black_collision,46,41,0,0,0,26,7,4,15,12
4,19,19,20,1920,148476,150396,30,24,0,0,frontier_black_collision,missing_black,41,74,0,0,0,3,4,4,12,12
4,20,20,21,17566,150396,167962,24,0,0,0,missing_black,frontier_black_collision,74,70,0,0,0,116,4,2,12,10
4,21,21,22,147,167962,168109,0,99,0,0,frontier_black_collision,frontier_black_collision,70,50,0,1,0,3,2,5,10,13
4,22,22,23,7808,168109,175917,99,0,0,0,frontier_black_collision,missing_black,50,77,0,0,0,119,5,5,13,13
4,23,23,24,12488,175917,188405,0,103,0,0,missing_black,frontier_black_collision,77,46,0,0,0,47,5,5,13,5
4,24,24,25,32991,188405,221396,103,16,0,0,frontier_black_collision,missing_black,46,61,0,0,0,172,5,4,5,4
4,25,25,26,215,221396,221611,16,0,0,0,missing_black,missing_black,61,77,0,1,0,5,4,3,4,11
