idx,shard,onset,rngstate,eligible_deep_events,selected_event_index,event_t,post_t,time_frac,post_is_onset,horizon,convention,event_cell_x,event_cell_y,pre_x,pre_y,pre_heading,post_x,post_y,post_heading,pre_observed_turn_bit,post_observed_turn_bit,pre_best_phase,post_best_phase,best_phase_changed,pre_h_best,post_h_best,delta_h_best,h_relation,pre_phi_compat,post_phi_compat,delta_phi_compat,phi_relation,pre_compatible_clear_phase_count,post_compatible_clear_phase_count,pre_best_bad_kind,post_best_bad_kind,pre_best_first_bad_offset,post_best_first_bad_offset,pre_best_first_bad_l1,post_best_first_bad_l1,pre_best_first_bad_linf,post_best_first_bad_linf,pre_compatible_median_h,post_compatible_median_h,pre_missing_black_count,post_missing_black_count,pre_frontier_black_collision_count,post_frontier_black_collision_count
1,1,307906,4692330403214779697,72247,18,234970,234971,0.7631225114158217,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-31,33,-31,33,0,-32,33,3,0,1,83,90,1,14,6,-8,decline,0.8740520209016968,0.9439403459411809,0.06988832503948417,decline,0,0,frontier_black_collision,missing_black,14,6,2,4,1,3,2,1,8,9,3,2
19,19,255436,9980582288230158201,59447,1,13008,13009,0.050924693465290716,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,6,18,6,18,0,5,18,3,0,1,26,21,1,9,2,-7,decline,0.9171002750188676,0.9809529623602027,0.06385268734133509,decline,0,0,missing_black,missing_black,9,2,3,2,2,1,2,1,11,11,0,0
16,16,265277,2581380668079156450,62081,4,48620,48621,0.18328011851762496,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-6,10,-6,10,0,-7,10,3,0,1,26,21,1,9,2,-7,decline,0.9171002750188676,0.9809529623602027,0.06385268734133509,decline,0,0,missing_black,missing_black,9,2,3,2,2,1,2,1,11,11,0,0
6,6,276143,5512003509614796496,64278,11,130985,130986,0.4743375714756485,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-7,42,-7,42,1,-7,41,0,0,1,26,21,1,9,2,-7,decline,0.9171002750188676,0.9809529623602027,0.06385268734133509,decline,0,0,missing_black,missing_black,9,2,3,2,2,1,2,1,11,11,0,0
9,9,270625,16992346564080444118,62658,24,270620,270621,0.9999815242494227,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,-46,-60,-46,-60,2,-45,-60,1,0,1,26,21,1,9,2,-7,decline,0.9171002750188676,0.9809529623602027,0.06385268734133509,decline,0,0,missing_black,missing_black,9,2,3,2,2,1,2,1,11,11,0,0
5,5,285796,16489936061346709332,66389,5,65864,65865,0.23045808898654985,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,38,-40,38,-40,2,39,-40,1,0,1,26,21,1,8,2,-6,decline,0.925961078642316,0.9809529623602027,0.05499188371788666,decline,0,0,missing_black,missing_black,8,2,4,2,2,1,2,1,11,11,0,0
1,1,307906,4692330403214779697,72247,12,159929,159930,0.5194085207823167,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,39,-16,39,-16,3,39,-15,2,0,1,26,21,1,8,2,-6,decline,0.925961078642316,0.9809529623602027,0.05499188371788666,decline,0,0,missing_black,missing_black,8,2,4,2,2,1,2,1,11,11,0,0
20,20,255171,7363838155587417590,59322,17,183305,183306,0.7183614125429614,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,67,-42,67,-42,1,67,-43,0,0,1,26,21,1,8,2,-6,decline,0.925961078642316,0.9809529623602027,0.05499188371788666,decline,0,0,missing_black,missing_black,8,2,4,2,2,1,2,1,11,11,0,0
8,8,271114,3955567068357606463,64208,24,271109,271110,0.9999815575735669,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,9,50,9,50,3,9,51,2,0,1,26,21,1,8,2,-6,decline,0.925961078642316,0.9809529623602027,0.05499188371788666,decline,0,0,missing_black,missing_black,8,2,4,2,2,1,2,1,11,11,0,0
5,5,285796,16489936061346709332,66389,3,40455,40456,0.14155201612338872,0,1600,pre_state_t_before_step_vs_post_state_t_plus_1_after_step,16,-17,16,-17,3,16,-16,2,0,1,26,21,1,7,2,-5,decline,0.9349074932321897,0.9809529623602027,0.046045469128012995,decline,0,0,missing_black,missing_black,7,2,3,2,2,1,2,1,11,11,0,0
