anchor_family,horizon,phi,orbit,from_anchor,to_anchor,t0,t1,gap_steps,deep_black_count,fresh_bite_count,next_status,phi_prev,phi_next,delta_phi,h_prev,h_next,bad_kind_prev,bad_kind_next
grid,1600,phi_best_deficit,11,233,234,242320,243360,1040,326,0,defect,1597.0,1599.0,2.0,4,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best_deficit,5,113,114,117520,118560,1040,323,2,defect,1594.0,1599.0,5.0,7,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best_deficit,12,98,99,101920,102960,1040,320,0,defect,1589.0,1599.0,10.0,12,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best_deficit,15,188,189,195520,196560,1040,315,3,defect,1592.0,1599.0,7.0,9,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best_deficit,8,209,210,217360,218400,1040,315,1,defect,1592.0,1599.0,7.0,9,2,missing_black,frontier_black_collision
grid,1600,phi_best_deficit,18,126,127,131040,132080,1040,315,1,defect,1593.0,1594.0,1.0,8,7,missing_black,frontier_black_collision
grid,1600,phi_best_deficit,4,164,165,170560,171600,1040,313,0,defect,1597.0,1599.0,2.0,4,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_best_deficit,5,206,207,214240,215280,1040,312,0,defect,1599.0,1599.0,0.0,2,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_top3_deficit,12,210,211,218400,220480,2080,423,179,defect,4791.0,4797.0,6.0,5,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_top3_deficit,20,50,51,52000,53040,1040,327,2,defect,4784.0,4786.0,2.0,9,8,missing_black,frontier_black_collision
grid,1600,phi_top3_deficit,11,233,234,242320,243360,1040,326,0,defect,4792.0,4797.0,5.0,4,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_top3_deficit,5,113,114,117520,118560,1040,323,2,defect,4789.0,4797.0,8.0,7,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_top3_deficit,12,98,99,101920,102960,1040,320,0,defect,4783.0,4797.0,14.0,12,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_top3_deficit,8,209,210,217360,218400,1040,315,1,defect,4786.0,4797.0,11.0,9,2,missing_black,frontier_black_collision
grid,1600,phi_top3_deficit,15,188,189,195520,196560,1040,315,3,defect,4787.0,4797.0,10.0,9,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_top3_deficit,4,164,165,170560,171600,1040,313,0,defect,4792.0,4797.0,5.0,4,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_top3_deficit,5,206,207,214240,215280,1040,312,0,defect,4797.0,4797.0,0.0,2,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_top3_deficit,22,35,36,36400,37440,1040,311,1,defect,4788.0,4797.0,9.0,6,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_sum_deficit,12,210,211,218400,220480,2080,423,179,defect,17586.0,17597.0,11.0,5,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_sum_deficit,11,233,234,242320,243360,1040,326,0,defect,17590.0,17597.0,7.0,4,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_sum_deficit,5,113,114,117520,118560,1040,323,2,defect,17584.0,17597.0,13.0,7,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_sum_deficit,12,98,99,101920,102960,1040,320,0,defect,17576.0,17597.0,21.0,12,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_sum_deficit,8,209,210,217360,218400,1040,315,1,defect,17584.0,17597.0,13.0,9,2,missing_black,frontier_black_collision
grid,1600,phi_sum_deficit,15,188,189,195520,196560,1040,315,3,defect,17587.0,17597.0,10.0,9,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_sum_deficit,4,164,165,170560,171600,1040,313,0,defect,17590.0,17597.0,7.0,4,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_sum_deficit,5,206,207,214240,215280,1040,312,0,defect,17597.0,17597.0,0.0,2,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_sum_deficit,19,228,229,237120,238160,1040,311,0,defect,17585.0,17597.0,12.0,6,2,frontier_black_collision,frontier_black_collision
grid,1600,phi_sum_deficit,22,35,36,36400,37440,1040,311,1,defect,17586.0,17597.0,11.0,6,2,frontier_black_collision,frontier_black_collision
