idx,shard,onset,rngstate,threshold,start,kind,phase,is_gate,depth,death_step,first_bad_offset,bad_rel_x,bad_rel_y,bad_abs_x,bad_abs_y,required_black,actual_black,bad_kind,exogenous_reads_checked,verdict
0,0,313358,4700473787566636120,40,165829,pre_onset_lock,41,0,40,165869,40,-2,0,31,40,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,171302,pre_onset_lock,40,0,41,171343,41,1,-2,20,-69,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,171646,pre_onset_lock,103,1,45,171691,45,3,-4,12,-61,1,0,missing_black,21,gate_exact_death
0,0,313358,4700473787566636120,40,172096,pre_onset_lock,41,0,40,172136,40,-2,0,30,-70,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,183537,pre_onset_lock,39,0,60,183597,60,4,0,-33,-34,1,0,missing_black,27,mute_early_death
0,0,313358,4700473787566636120,40,185573,pre_onset_lock,41,0,58,185631,58,-3,1,-38,-31,1,0,missing_black,25,mute_early_death
0,0,313358,4700473787566636120,40,191486,pre_onset_lock,41,0,40,191526,40,-2,0,43,-63,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,202718,pre_onset_lock,36,0,45,202763,45,-1,2,16,-77,1,0,missing_black,25,mute_early_death
0,0,313358,4700473787566636120,40,203466,pre_onset_lock,41,0,40,203506,40,-2,0,43,-71,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,204947,pre_onset_lock,41,0,40,204987,40,-2,0,24,-83,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,206449,pre_onset_lock,0,1,43,206492,43,-4,-1,12,-74,0,1,frontier_black_collision,19,gate_exact_death
0,0,313358,4700473787566636120,40,207624,pre_onset_lock,41,0,40,207664,40,-2,0,0,-66,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,216215,pre_onset_lock,24,1,47,216262,47,-8,1,-37,25,0,1,frontier_black_collision,25,gate_exact_death
0,0,313358,4700473787566636120,40,222717,pre_onset_lock,36,0,62,222779,62,-1,3,-42,-31,1,0,missing_black,27,mute_early_death
0,0,313358,4700473787566636120,40,222808,pre_onset_lock,23,0,78,222886,78,1,1,-45,-31,1,0,missing_black,37,mute_early_death
0,0,313358,4700473787566636120,40,232346,pre_onset_lock,40,0,41,232387,41,1,-2,-20,-67,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,235908,pre_onset_lock,40,0,41,235949,41,1,-2,1,-84,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,244546,pre_onset_lock,36,0,40,244586,40,-4,2,53,1,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,244722,pre_onset_lock,41,0,40,244762,40,-2,0,55,-9,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,259938,pre_onset_lock,29,0,48,259986,48,4,4,35,-89,1,0,missing_black,26,mute_early_death
0,0,313358,4700473787566636120,40,273208,pre_onset_lock,25,1,45,273253,45,-1,-6,49,-8,0,1,frontier_black_collision,23,gate_exact_death
0,0,313358,4700473787566636120,40,273379,pre_onset_lock,40,0,41,273420,41,1,-2,60,-20,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,273511,pre_onset_lock,0,1,76,273587,76,-6,0,58,-43,1,0,missing_black,35,gate_exact_death
0,0,313358,4700473787566636120,40,273735,pre_onset_lock,0,1,70,273805,70,-7,-1,61,-46,0,1,frontier_black_collision,31,gate_exact_death
0,0,313358,4700473787566636120,40,274624,pre_onset_lock,40,0,58,274682,58,1,-3,61,-41,1,0,missing_black,25,mute_early_death
0,0,313358,4700473787566636120,40,274682,pre_onset_lock,103,1,46,274728,46,3,-5,64,-46,0,1,frontier_black_collision,22,gate_exact_death
0,0,313358,4700473787566636120,40,274858,pre_onset_lock,23,0,75,274933,75,2,3,63,-48,1,0,missing_black,34,mute_early_death
0,0,313358,4700473787566636120,40,276455,pre_onset_lock,0,1,45,276500,45,-5,-2,46,-62,0,1,frontier_black_collision,21,gate_exact_death
0,0,313358,4700473787566636120,40,277463,pre_onset_lock,41,0,40,277503,40,-2,0,-24,-75,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,277750,pre_onset_lock,40,0,41,277791,41,1,-2,-34,-63,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,285369,pre_onset_lock,26,1,72,285441,72,-2,4,29,-92,1,0,missing_black,31,gate_exact_death
0,0,313358,4700473787566636120,40,286642,pre_onset_lock,41,0,40,286682,40,-2,0,13,-89,1,0,missing_black,22,mute_early_death
0,0,313358,4700473787566636120,40,287194,pre_onset_lock,40,0,41,287235,41,1,-2,-16,-87,1,0,missing_black,23,mute_early_death
0,0,313358,4700473787566636120,40,287274,pre_onset_lock,0,1,99,287373,99,-2,1,-17,-88,1,0,missing_black,40,gate_exact_death
0,0,313358,4700473787566636120,80,287274,pre_onset_lock,0,1,99,287373,99,-2,1,-17,-88,1,0,missing_black,40,gate_exact_death
0,0,313358,4700473787566636120,40,293928,pre_onset_lock,0,1,45,293973,45,-5,-2,-43,10,0,1,frontier_black_collision,21,gate_exact_death
0,0,313358,4700473787566636120,40,294071,pre_onset_lock,41,0,40,294111,40,-2,0,-50,1,1,0,missing_black,22,mute_early_death
