idx,horizon,attempts,entries,failures,any_clear,any_clear_rate,actual_is_best,actual_is_best_rate,clear_phase_count_total,best_h,actual_h
6,512,37,1,36,1,0.02702702702702703,37,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 52, 'q75': 75.5, 'max': 513, 'mean': 78.10810810810811}","{'min': 40, 'q25': 45.0, 'median': 52, 'q75': 75.5, 'max': 513, 'mean': 78.10810810810811}"
6,1600,37,1,36,1,0.02702702702702703,37,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 52, 'q75': 75.5, 'max': 1601, 'mean': 107.51351351351352}","{'min': 40, 'q25': 45.0, 'median': 52, 'q75': 75.5, 'max': 1601, 'mean': 107.51351351351352}"
7,208,34,1,33,1,0.029411764705882353,34,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 46.5, 'q75': 71.25, 'max': 209, 'mean': 63.529411764705884}","{'min': 40, 'q25': 45.0, 'median': 46.5, 'q75': 71.25, 'max': 209, 'mean': 63.529411764705884}"
7,512,34,1,33,1,0.029411764705882353,34,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 46.5, 'q75': 71.25, 'max': 513, 'mean': 72.47058823529412}","{'min': 40, 'q25': 45.0, 'median': 46.5, 'q75': 71.25, 'max': 513, 'mean': 72.47058823529412}"
7,1600,34,1,33,1,0.029411764705882353,34,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 46.5, 'q75': 71.25, 'max': 1601, 'mean': 104.47058823529412}","{'min': 40, 'q25': 45.0, 'median': 46.5, 'q75': 71.25, 'max': 1601, 'mean': 104.47058823529412}"
8,208,29,1,28,1,0.034482758620689655,29,1.0,1,"{'min': 44, 'q25': 45.5, 'median': 70, 'q75': 83.0, 'max': 209, 'mean': 70.48275862068965}","{'min': 44, 'q25': 45.5, 'median': 70, 'q75': 83.0, 'max': 209, 'mean': 70.48275862068965}"
8,512,29,1,28,1,0.034482758620689655,29,1.0,1,"{'min': 44, 'q25': 45.5, 'median': 70, 'q75': 83.0, 'max': 513, 'mean': 80.96551724137932}","{'min': 44, 'q25': 45.5, 'median': 70, 'q75': 83.0, 'max': 513, 'mean': 80.96551724137932}"
8,1600,29,1,28,1,0.034482758620689655,29,1.0,1,"{'min': 44, 'q25': 45.5, 'median': 70, 'q75': 83.0, 'max': 1601, 'mean': 118.48275862068965}","{'min': 44, 'q25': 45.5, 'median': 70, 'q75': 83.0, 'max': 1601, 'mean': 118.48275862068965}"
9,208,33,1,32,2,0.06060606060606061,33,1.0,2,"{'min': 40, 'q25': 45.0, 'median': 68, 'q75': 99.0, 'max': 209, 'mean': 76.93939393939394}","{'min': 40, 'q25': 45.0, 'median': 68, 'q75': 99.0, 'max': 209, 'mean': 76.93939393939394}"
9,512,33,1,32,1,0.030303030303030304,33,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 68, 'q75': 99.0, 'max': 513, 'mean': 94.72727272727273}","{'min': 40, 'q25': 45.0, 'median': 68, 'q75': 99.0, 'max': 513, 'mean': 94.72727272727273}"
9,1600,33,1,32,1,0.030303030303030304,33,1.0,1,"{'min': 40, 'q25': 45.0, 'median': 68, 'q75': 99.0, 'max': 1601, 'mean': 127.6969696969697}","{'min': 40, 'q25': 45.0, 'median': 68, 'q75': 99.0, 'max': 1601, 'mean': 127.6969696969697}"
10,208,51,1,50,3,0.058823529411764705,51,1.0,3,"{'min': 40, 'q25': 46.0, 'median': 59, 'q75': 77.0, 'max': 209, 'mean': 70.6078431372549}","{'min': 40, 'q25': 46.0, 'median': 59, 'q75': 77.0, 'max': 209, 'mean': 70.6078431372549}"
10,512,51,1,50,2,0.0392156862745098,51,1.0,2,"{'min': 40, 'q25': 46.0, 'median': 59, 'q75': 77.0, 'max': 513, 'mean': 88.0}","{'min': 40, 'q25': 46.0, 'median': 59, 'q75': 77.0, 'max': 513, 'mean': 88.0}"
10,1600,51,1,50,1,0.0196078431372549,51,1.0,1,"{'min': 40, 'q25': 46.0, 'median': 59, 'q75': 77.0, 'max': 1601, 'mean': 114.94117647058823}","{'min': 40, 'q25': 46.0, 'median': 59, 'q75': 77.0, 'max': 1601, 'mean': 114.94117647058823}"
11,208,25,1,24,1,0.04,25,1.0,1,"{'min': 42, 'q25': 45.0, 'median': 47, 'q75': 75.0, 'max': 209, 'mean': 64.4}","{'min': 42, 'q25': 45.0, 'median': 47, 'q75': 75.0, 'max': 209, 'mean': 64.4}"
