predictor,Lpred,H,threshold,bin,bin_count_low,bin_count_high,bin_rate_low,bin_rate_high,n,mean_deep_rate,mean_bite_rate,events,hazard
deep_black,3120,312,40,1,672,716,0.2153846153846154,0.22948717948717948,321430,0.2230147529827947,0.06769283518284834,47425,0.14754378869427248
deep_black,3120,312,40,2,717,754,0.2298076923076923,0.24166666666666667,323090,0.23576800661226702,0.047764909912364165,42824,0.13254511126930577
deep_black,3120,312,40,3,755,793,0.2419871794871795,0.25416666666666665,325927,0.24798585246343022,0.02862784457868981,34628,0.10624464987558564
deep_black,3120,312,40,4,794,919,0.25448717948717947,0.29455128205128206,318032,0.2628334106520167,0.012505901679938317,21730,0.06832645771494693
deep_black,3120,312,80,0,449,671,0.1439102564102564,0.21506410256410258,325217,0.20066516238519586,0.10430811857140299,4259,0.013095871372037746
deep_black,3120,312,80,1,672,716,0.2153846153846154,0.22948717948717948,321430,0.2230147529827947,0.06769283518284834,2001,0.0062253056653081545
deep_black,3120,312,80,2,717,754,0.2298076923076923,0.24166666666666667,323090,0.23576800661226702,0.047764909912364165,1549,0.004794329753319508
deep_black,3120,312,80,3,755,793,0.2419871794871795,0.25416666666666665,325927,0.24798585246343022,0.02862784457868981,1368,0.004197258895396822
deep_black,3120,312,80,4,794,919,0.25448717948717947,0.29455128205128206,318032,0.2628334106520167,0.012505901679938317,689,0.0021664486592544146
deep_black,3120,1040,40,0,449,671,0.1439102564102564,0.21506410256410258,324210,0.20064031582897832,0.10435663929441154,155288,0.4789735048271182
deep_black,3120,1040,40,1,672,716,0.2153846153846154,0.22948717948717948,320644,0.2230175823638209,0.06769489083508641,116818,0.3643230498621524
deep_black,3120,1040,40,2,717,754,0.2298076923076923,0.24166666666666667,322746,0.23576681301481842,0.04776508283006734,106738,0.3307182738128435
deep_black,3120,1040,40,3,755,793,0.2419871794871795,0.25416666666666665,324686,0.2479830838929746,0.028688214269972083,98724,0.3040599225097479
deep_black,3120,1040,40,4,794,919,0.25448717948717947,0.29455128205128206,317042,0.26282750048992853,0.012529453955699517,71247,0.22472416903754078
deep_black,3120,1040,80,0,449,671,0.1439102564102564,0.21506410256410258,324210,0.20064031582897832,0.10435663929441154,10402,0.03208414299373863
deep_black,3120,1040,80,1,672,716,0.2153846153846154,0.22948717948717948,320644,0.2230175823638209,0.06769489083508641,5394,0.016822394930202968
deep_black,3120,1040,80,2,717,754,0.2298076923076923,0.24166666666666667,322746,0.23576681301481842,0.04776508283006734,4428,0.01371976724730903
deep_black,3120,1040,80,3,755,793,0.2419871794871795,0.25416666666666665,324686,0.2479830838929746,0.028688214269972083,3648,0.011235470577727405
deep_black,3120,1040,80,4,794,919,0.25448717948717947,0.29455128205128206,317042,0.26282750048992853,0.012529453955699517,2681,0.008456292857097798
fresh_bite,313,312,40,0,0,0,0.0,0.0,672513,0.2619819375773501,0.0,33517,0.04983844178476847
fresh_bite,313,312,40,2,1,14,0.003194888178913738,0.04472843450479233,305998,0.25297566625706897,0.018818097894374115,42129,0.13767737044032968
fresh_bite,313,312,40,3,15,36,0.04792332268370607,0.11501597444089456,332104,0.21933672534471352,0.08018381054499876,63288,0.1905668103967432
fresh_bite,313,312,40,4,37,111,0.1182108626198083,0.3546325878594249,319922,0.17028263059245494,0.16903073798355644,80563,0.2518207563093504
fresh_bite,313,312,80,0,0,0,0.0,0.0,672513,0.2619819375773501,0.0,1109,0.0016490387546411742
fresh_bite,313,312,80,2,1,14,0.003194888178913738,0.04472843450479233,305998,0.25297566625706897,0.018818097894374115,1260,0.004117673971725306
fresh_bite,313,312,80,3,15,36,0.04792332268370607,0.11501597444089456,332104,0.21933672534471352,0.08018381054499876,2355,0.00709115216920001
fresh_bite,313,312,80,4,37,111,0.1182108626198083,0.3546325878594249,319922,0.17028263059245494,0.16903073798355644,5397,0.016869736998393357
fresh_bite,313,1040,40,0,0,0,0.0,0.0,670996,0.2619841541362876,0.0,141056,0.2102188388604403
fresh_bite,313,1040,40,2,1,14,0.003194888178913738,0.04472843450479233,305221,0.2529579860392219,0.018810745344475743,111080,0.3639330190255585
fresh_bite,313,1040,40,3,15,36,0.04792332268370607,0.11501597444089456,331041,0.21938203208774726,0.08017463894726445,144440,0.43632057660531476
fresh_bite,313,1040,40,4,37,111,0.1182108626198083,0.3546325878594249,318911,0.17028047415711633,0.16905341493460768,163010,0.5111457428561573
fresh_bite,313,1040,80,0,0,0,0.0,0.0,670996,0.2619841541362876,0.0,6222,0.009272782550119523
fresh_bite,313,1040,80,2,1,14,0.003194888178913738,0.04472843450479233,305221,0.2529579860392219,0.018810745344475743,4705,0.015415059907411351
fresh_bite,313,1040,80,3,15,36,0.04792332268370607,0.11501597444089456,331041,0.21938203208774726,0.08017463894726445,6266,0.018928169018339117
fresh_bite,313,1040,80,4,37,111,0.1182108626198083,0.3546325878594249,318911,0.17028047415711633,0.16905341493460768,9987,0.03131594708241484
fresh_bite,1040,312,40,0,0,1,0.0,0.0009615384615384616,358462,0.2626356999326522,0.0001097396655712697,12653,0.03529802322142933
fresh_bite,1040,312,40,1,2,28,0.0019230769230769232,0.026923076923076925,301579,0.2562218389262779,0.013374216017378841,31712,0.10515321026994585
fresh_bite,1040,312,40,2,29,61,0.027884615384615386,0.058653846153846154,324383,0.23907935040696163,0.042908276280236614,45227,0.13942469241606373
fresh_bite,1040,312,40,3,62,101,0.05961538461538462,0.09711538461538462,317167,0.22010482951106075,0.07747706801398702,53195,0.16771921416793045
fresh_bite,1040,312,40,4,102,308,0.09807692307692308,0.29615384615384616,324585,0.1888411415286701,0.13323503325542865,75419,0.23235516120584745
